"ITTER107","Territorio","TIPO_DATO_OCC","Tipo aggregato","BRANCA_ATTIVITAREV2","Branca di attività (NACE Rev2)","POSIZPROF","Posizione nella professione","CORREZ","Correzione","T_BIS","Edizione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","RTU","attività artistiche, di intrattenimento e divertimento, riparazione di beni per la casa e altri servizi","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",42.934,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C19","fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",2.649,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C","industria manifatturiera","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",6.457,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","J","servizi di informazione e comunicazione","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",5.21,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","GTI","commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli, trasporto e magazzinaggio, servizi di alloggio e di ristorazione","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",16.511,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","BTF","attività estrattiva, attività manifatturiere, fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento, costruzioni","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",7.934,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C31T33","fabbricazione di mobili, altre industrie manifatturiere, riparazione e installazione di macchine e apparecchiature","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",6.272,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","F","costruzioni","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",16.32,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C10T12","industrie alimentari, delle bevande e del tabacco","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",8.834,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","C27","fabbricazione di apparecchiature elettriche","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",10.204,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","H","trasporti e magazzinaggio","2","indipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",26.588,,
"IT","Italia","RUFTE","tasso di irregolarità delle unità di lavoro (per 100 unità di lavoro)","O","amministrazione pubblica e difesa, assicurazione sociale obbligatoria","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",0,,
"IT","Italia","RUEP","tasso di irregolarità degli occupati (per 100 occupati)","D_E","fornitura di energia elettrica, gas, vapore e aria condizionata, fornitura di acqua, reti fognarie, attività di trattamento dei rifiuti e risanamento","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",3.798,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","P","istruzione","9","totale","N","dati grezzi","2021M9","Set-2021","2019","2019",9.688,,
"IT","Italia","RUJ","tasso di irregolarità delle posizioni lavorative (per 100 posizioni lavorative)","C29_30","fabbricazione di mezzi di trasporto","1","dipendenti","N","dati grezzi","2021M9","Set-2021","2019","2019",5.506,,
