Area Geografica,Anno,Regione,Sesso,Occupati,Count,Percentage,PercentageOccupati
NordEst,2024,Emilia RomagnaEmilia RomagnaFriuli Venezia GiuliaTrentino Alto AdigeTrentino Alto Adige,FMMFM,0,59,8.625730994152047,0.0
NordOvest,2018,LiguriaLiguriaLombardiaLombardiaPiemontePiemonteValle D'Aosta,FMFMFMM,6839664,348,13.690007867820613,0.036465278969493434
NordOvest,2019,LiguriaLiguriaLombardiaLombardiaPiemontePiemonteValle D'Aosta,FMFMFMM,6894725,325,13.363486842105264,0.029836927162905893
NordOvest,2020,LiguriaLiguriaLombardiaLombardiaPiemontePiemonteValle D'Aosta,FMFMFMM,6671022,551,16.31142687981054,0.05626932380160152
NordOvest,2021,LiguriaLiguriaLombardiaLombardiaPiemontePiemonteValle D'Aosta,FMFMFMM,6722208,367,13.088445078459344,0.05216999474995045
NordOvest,2022,LiguriaLombardiaLombardiaPiemontePiemonteValle D'Aosta,MFMFMM,6588603,333,13.692434210526317,0.05050412842344175
NordOvest,2023,LiguriaLiguriaLombardiaLombardiaPiemonteValle D'Aosta,FMFMMM,6166111,108,16.9811320754717,0.011798476194834968
NordOvest,2024,LiguriaLombardiaLombardiaPiemonteValle D'Aosta,MFMMM,0,106,15.497076023391813,0.0
Sud,2018,AbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCampaniaCampaniaMolisePugliaPugliaSiciliaSicilia,FMFMFMFMMFMFM,5470446,387,15.224232887490166,0.10141131135484784
Sud,2019,AbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCampaniaCampaniaMoliseMolisePugliaPugliaSiciliaSicilia,FMFMFMFMFMFMFM,5510508,367,15.090460526315791,0.09410840138035952
Sud,2020,AbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCampaniaCampaniaMoliseMolisePugliaPugliaSiciliaSicilia,FMFMFMFMFMFMFM,5340104,523,15.482534043812908,0.1214020530159501
Sud,2021,AbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCampaniaCampaniaMoliseMolisePugliaPugliaSiciliaSicilia,FMFMFMFMFMFMFM,5404412,451,16.08416547788873,0.12337355680670431
Sud,2022,AbruzzoAbruzzoBasilicataCalabriaCalabriaCampaniaCampaniaMoliseMolisePugliaPugliaSiciliaSicilia,FMMFMFMFMFMFM,5478638,337,13.856907894736842,0.07501287574798954
Sud,2023,AbruzzoBasilicataCalabriaCampaniaCampaniaPugliaSiciliaSicilia,MMMFMMFM,4670983,92,14.465408805031446,0.014393678677548179
Sud,2024,AbruzzoBasilicataCalabriaCalabriaCampaniaCampaniaMolisePugliaPugliaSiciliaSicilia,MMFMFMMFMFM,0,112,16.374269005847953,0.0
Total,2018,TotalTotal,FM,0,1271,50.0,0.0
Total,2019,TotalTotal,FM,0,1216,50.0,0.0
Total,2020,TotalTotal,FM,0,1689,50.0,0.0
Total,2021,TotalTotal,FM,0,1402,50.0,0.0
Total,2022,TotalTotal,FM,0,1216,50.0,0.0
Total,2023,TotalTotal,FM,0,318,50.0,0.0
Total,2024,TotalTotal,FM,0,342,50.0,0.0
