Anno,Regione,Sesso,Occupati,Area Geografica,Count,Percentage,PercentageOccupati
2024,Toscana,F,,Centro,7388,1.7074579953315308,0.0
2024,Toscana,M,,Centro,12554,2.9013843629388245,0.0
2024,Total,F,,Total,79467,18.365804617624626,0.0
2024,Total,M,,Total,136878,31.634195382375374,0.0
2024,Trentino Alto Adige,F,,NordEst,3268,0.7552751392451871,0.0
2024,Trentino Alto Adige,M,,NordEst,6693,1.5468349164528878,0.0
2024,Umbria,F,,Centro,1664,0.38457093993390185,0.0
2024,Umbria,M,,Centro,2821,0.651967921606693,0.0
2024,Valle D'Aosta,F,,NordOvest,238,0.05500473780304606,0.0
2024,Valle D'Aosta,M,,NordOvest,361,0.0834315560794102,0.0
