MacroRegione,Genere,AgeGroup,Condizione professionale europea,Year,Occupati,DescrAtecoLiv1,Count
Total,F,15+,occupati,2021,95103520,"Attivita' professionali, scientifiche e tecniche",4565
Total,F,15+,occupati,2021,95103520,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",41743
Total,F,15+,occupati,2021,95103520,Costruzioni,40068
Total,F,15+,occupati,2021,95103520,Estrazione di minerali da cave e miniere,439
Total,F,15+,occupati,2021,95103520,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11098
Total,F,15+,occupati,2021,95103520,"Fornitura di energia elettrica, gas, vapore e aria condizionata",706
Total,F,15+,occupati,2021,95103520,Istruzione,4376
Total,F,15+,occupati,2021,95103520,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",26663
Total,F,15+,occupati,2021,95103520,Non determinato,155427
Total,F,15+,occupati,2021,95103520,Organizzazioni ed organismi extraterritoriali,64
Total,F,15+,occupati,2021,95103520,Sanita' e assistenza sociale,77934
Total,F,15+,occupati,2021,95103520,Servizi di informazione e comunicazione,4458
Total,F,15+,occupati,2021,95103520,Trasporto e magazzinaggio,48449
Total,F,15+,occupati,2021,95103520,"Agricoltura, silvicoltura e pesca",1049
Total,F,15+,occupati,2021,95103520,Altre attivita' di servizi,5316
Total,F,15+,occupati,2021,95103520,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",11791
Total,F,15+,occupati,2021,95103520,"Attivita' artistiche, sportive, di intrattenimento e divertimento",3801
Total,F,15+,occupati,2021,95103520,Attivita' dei servizi di alloggio e di ristorazione,21912
Total,F,15+,occupati,2021,95103520,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",26
Total,F,15+,occupati,2021,95103520,Attivita' finanziarie e assicurative,2838
Total,F,15+,occupati,2021,95103520,Attivita' immobiliari,982
Total,F,15+,occupati,2021,95103520,Attivita' manifatturiere,89258
Total,F,15+,occupati,2021,95103520,"Attivita' professionali, scientifiche e tecniche",4565
Total,F,15+,occupati,2021,95103520,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",41743
Total,F,15+,occupati,2021,95103520,Costruzioni,40068
Total,F,15+,occupati,2021,95103520,Estrazione di minerali da cave e miniere,439
Total,F,15+,occupati,2021,95103520,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11098
Total,F,15+,occupati,2021,95103520,"Fornitura di energia elettrica, gas, vapore e aria condizionata",706
Total,F,15+,occupati,2021,95103520,Istruzione,4376
Total,F,15+,occupati,2021,95103520,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",26663
Total,F,15+,occupati,2021,95103520,Non determinato,155427
Total,F,15+,occupati,2021,95103520,Organizzazioni ed organismi extraterritoriali,64
Total,F,15+,occupati,2021,95103520,Sanita' e assistenza sociale,77934
Total,F,15+,occupati,2021,95103520,Servizi di informazione e comunicazione,4458
Total,F,15+,occupati,2021,95103520,Trasporto e magazzinaggio,48449
Total,F,15+,occupati,2022,97491980,"Agricoltura, silvicoltura e pesca",1061
Total,F,15+,occupati,2022,97491980,Altre attivita' di servizi,5911
Total,F,15+,occupati,2022,97491980,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",14848
Total,F,15+,occupati,2022,97491980,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4444
Total,F,15+,occupati,2022,97491980,Attivita' dei servizi di alloggio e di ristorazione,27737
Total,F,15+,occupati,2022,97491980,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",17
Total,F,15+,occupati,2022,97491980,Attivita' finanziarie e assicurative,3156
Total,F,15+,occupati,2022,97491980,Attivita' immobiliari,1082
Total,F,15+,occupati,2022,97491980,Attivita' manifatturiere,92901
Total,F,15+,occupati,2022,97491980,"Attivita' professionali, scientifiche e tecniche",5051
Total,F,15+,occupati,2022,97491980,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",44629
Total,F,15+,occupati,2022,97491980,Costruzioni,43108
Total,F,15+,occupati,2022,97491980,Estrazione di minerali da cave e miniere,400
Total,F,15+,occupati,2022,97491980,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11723
Total,F,15+,occupati,2022,97491980,"Fornitura di energia elettrica, gas, vapore e aria condizionata",744
Total,F,15+,occupati,2022,97491980,Istruzione,5063
Total,F,15+,occupati,2022,97491980,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",28367
Total,F,15+,occupati,2022,97491980,Non determinato,189397
Total,F,15+,occupati,2022,97491980,Organizzazioni ed organismi extraterritoriali,83
Total,F,15+,occupati,2022,97491980,Sanita' e assistenza sociale,141889
Total,F,15+,occupati,2022,97491980,Servizi di informazione e comunicazione,4039
Total,F,15+,occupati,2022,97491980,Trasporto e magazzinaggio,63544
Total,F,15+,occupati,2022,97491980,"Agricoltura, silvicoltura e pesca",1061
Total,F,15+,occupati,2022,97491980,Altre attivita' di servizi,5911
Total,F,15+,occupati,2022,97491980,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",14848
Total,F,15+,occupati,2022,97491980,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4444
Total,F,15+,occupati,2022,97491980,Attivita' dei servizi di alloggio e di ristorazione,27737
Total,F,15+,occupati,2022,97491980,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",17
Total,F,15+,occupati,2022,97491980,Attivita' finanziarie e assicurative,3156
Total,F,15+,occupati,2022,97491980,Attivita' immobiliari,1082
Total,F,15+,occupati,2022,97491980,Attivita' manifatturiere,92901
Total,F,15+,occupati,2022,97491980,"Attivita' professionali, scientifiche e tecniche",5051
Total,F,15+,occupati,2022,97491980,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",44629
Total,F,15+,occupati,2022,97491980,Costruzioni,43108
Total,F,15+,occupati,2022,97491980,Estrazione di minerali da cave e miniere,400
Total,F,15+,occupati,2022,97491980,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11723
Total,F,15+,occupati,2022,97491980,"Fornitura di energia elettrica, gas, vapore e aria condizionata",744
Total,F,15+,occupati,2022,97491980,Istruzione,5063
Total,F,15+,occupati,2022,97491980,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",28367
Total,F,15+,occupati,2022,97491980,Non determinato,189397
Total,F,15+,occupati,2022,97491980,Organizzazioni ed organismi extraterritoriali,83
Total,F,15+,occupati,2022,97491980,Sanita' e assistenza sociale,141889
Total,F,15+,occupati,2022,97491980,Servizi di informazione e comunicazione,4039
Total,F,15+,occupati,2022,97491980,Trasporto e magazzinaggio,63544
Total,M,15-64,occupati,2018,12842900,"Agricoltura, silvicoltura e pesca",1292
Total,M,15-64,occupati,2018,12842900,Altre attivita' di servizi,6151
Total,M,15-64,occupati,2018,12842900,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",13996
Total,M,15-64,occupati,2018,12842900,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4264
Total,M,15-64,occupati,2018,12842900,Attivita' dei servizi di alloggio e di ristorazione,30118
Total,M,15-64,occupati,2018,12842900,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",30
Total,M,15-64,occupati,2018,12842900,Attivita' finanziarie e assicurative,4761
Total,M,15-64,occupati,2018,12842900,Attivita' immobiliari,1946
Total,M,15-64,occupati,2018,12842900,Attivita' manifatturiere,102501
Total,M,15-64,occupati,2018,12842900,"Attivita' professionali, scientifiche e tecniche",6175
Total,M,15-64,occupati,2018,12842900,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",47962
Total,M,15-64,occupati,2018,12842900,Costruzioni,39088
Total,M,15-64,occupati,2018,12842900,Estrazione di minerali da cave e miniere,516
Total,M,15-64,occupati,2018,12842900,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",13175
Total,M,15-64,occupati,2018,12842900,"Fornitura di energia elettrica, gas, vapore e aria condizionata",1006
Total,M,15-64,occupati,2018,12842900,Istruzione,5631
Total,M,15-64,occupati,2018,12842900,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",30741
Total,M,15-64,occupati,2018,12842900,Non determinato,218855
Total,M,15-64,occupati,2018,12842900,Organizzazioni ed organismi extraterritoriali,95
Total,M,15-64,occupati,2018,12842900,Sanita' e assistenza sociale,51073
Total,M,15-64,occupati,2018,12842900,Servizi di informazione e comunicazione,5298
Total,M,15-64,occupati,2018,12842900,Trasporto e magazzinaggio,47028
Total,M,15-64,occupati,2018,12842900,"Agricoltura, silvicoltura e pesca",1292
Total,M,15-64,occupati,2018,12842900,Altre attivita' di servizi,6151
Total,M,15-64,occupati,2018,12842900,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",13996
Total,M,15-64,occupati,2018,12842900,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4264
Total,M,15-64,occupati,2018,12842900,Attivita' dei servizi di alloggio e di ristorazione,30118
Total,M,15-64,occupati,2018,12842900,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",30
Total,M,15-64,occupati,2018,12842900,Attivita' finanziarie e assicurative,4761
Total,M,15-64,occupati,2018,12842900,Attivita' immobiliari,1946
Total,M,15-64,occupati,2018,12842900,Attivita' manifatturiere,102501
Total,M,15-64,occupati,2018,12842900,"Attivita' professionali, scientifiche e tecniche",6175
Total,M,15-64,occupati,2018,12842900,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",47962
Total,M,15-64,occupati,2018,12842900,Costruzioni,39088
Total,M,15-64,occupati,2018,12842900,Estrazione di minerali da cave e miniere,516
Total,M,15-64,occupati,2018,12842900,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",13175
Total,M,15-64,occupati,2018,12842900,"Fornitura di energia elettrica, gas, vapore e aria condizionata",1006
Total,M,15-64,occupati,2018,12842900,Istruzione,5631
Total,M,15-64,occupati,2018,12842900,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",30741
Total,M,15-64,occupati,2018,12842900,Non determinato,218855
Total,M,15-64,occupati,2018,12842900,Organizzazioni ed organismi extraterritoriali,95
Total,M,15-64,occupati,2018,12842900,Sanita' e assistenza sociale,51073
Total,M,15-64,occupati,2018,12842900,Servizi di informazione e comunicazione,5298
Total,M,15-64,occupati,2018,12842900,Trasporto e magazzinaggio,47028
Total,M,15-64,occupati,2019,12879085,"Agricoltura, silvicoltura e pesca",1182
Total,M,15-64,occupati,2019,12879085,Altre attivita' di servizi,6002
Total,M,15-64,occupati,2019,12879085,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",13642
Total,M,15-64,occupati,2019,12879085,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4443
Total,M,15-64,occupati,2019,12879085,Attivita' dei servizi di alloggio e di ristorazione,31021
Total,M,15-64,occupati,2019,12879085,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",35
Total,M,15-64,occupati,2019,12879085,Attivita' finanziarie e assicurative,4616
Total,M,15-64,occupati,2019,12879085,Attivita' immobiliari,1688
Total,M,15-64,occupati,2019,12879085,Attivita' manifatturiere,101961
Total,M,15-64,occupati,2019,12879085,"Attivita' professionali, scientifiche e tecniche",5960
Total,M,15-64,occupati,2019,12879085,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",47992
Total,M,15-64,occupati,2019,12879085,Costruzioni,40022
Total,M,15-64,occupati,2019,12879085,Estrazione di minerali da cave e miniere,451
Total,M,15-64,occupati,2019,12879085,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",13229
Total,M,15-64,occupati,2019,12879085,"Fornitura di energia elettrica, gas, vapore e aria condizionata",998
Total,M,15-64,occupati,2019,12879085,Istruzione,5742
Total,M,15-64,occupati,2019,12879085,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",30791
Total,M,15-64,occupati,2019,12879085,Non determinato,216531
Total,M,15-64,occupati,2019,12879085,Organizzazioni ed organismi extraterritoriali,97
Total,M,15-64,occupati,2019,12879085,Sanita' e assistenza sociale,52151
Total,M,15-64,occupati,2019,12879085,Servizi di informazione e comunicazione,5107
Total,M,15-64,occupati,2019,12879085,Trasporto e magazzinaggio,47486
Total,M,15-64,occupati,2019,12879085,"Agricoltura, silvicoltura e pesca",1182
Total,M,15-64,occupati,2019,12879085,Altre attivita' di servizi,6002
Total,M,15-64,occupati,2019,12879085,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",13642
Total,M,15-64,occupati,2019,12879085,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4443
Total,M,15-64,occupati,2019,12879085,Attivita' dei servizi di alloggio e di ristorazione,31021
Total,M,15-64,occupati,2019,12879085,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",35
Total,M,15-64,occupati,2019,12879085,Attivita' finanziarie e assicurative,4616
Total,M,15-64,occupati,2019,12879085,Attivita' immobiliari,1688
Total,M,15-64,occupati,2019,12879085,Attivita' manifatturiere,101961
Total,M,15-64,occupati,2019,12879085,"Attivita' professionali, scientifiche e tecniche",5960
Total,M,15-64,occupati,2019,12879085,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",47992
Total,M,15-64,occupati,2019,12879085,Costruzioni,40022
Total,M,15-64,occupati,2019,12879085,Estrazione di minerali da cave e miniere,451
Total,M,15-64,occupati,2019,12879085,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",13229
Total,M,15-64,occupati,2019,12879085,"Fornitura di energia elettrica, gas, vapore e aria condizionata",998
Total,M,15-64,occupati,2019,12879085,Istruzione,5742
Total,M,15-64,occupati,2019,12879085,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",30791
Total,M,15-64,occupati,2019,12879085,Non determinato,216531
Total,M,15-64,occupati,2019,12879085,Organizzazioni ed organismi extraterritoriali,97
Total,M,15-64,occupati,2019,12879085,Sanita' e assistenza sociale,52151
Total,M,15-64,occupati,2019,12879085,Servizi di informazione e comunicazione,5107
Total,M,15-64,occupati,2019,12879085,Trasporto e magazzinaggio,47486
Total,M,15-64,occupati,2020,12541037,"Agricoltura, silvicoltura e pesca",1132
Total,M,15-64,occupati,2020,12541037,Altre attivita' di servizi,5315
Total,M,15-64,occupati,2020,12541037,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",11065
Total,M,15-64,occupati,2020,12541037,"Attivita' artistiche, sportive, di intrattenimento e divertimento",3190
Total,M,15-64,occupati,2020,12541037,Attivita' dei servizi di alloggio e di ristorazione,18268
Total,M,15-64,occupati,2020,12541037,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",27
Total,M,15-64,occupati,2020,12541037,Attivita' finanziarie e assicurative,2862
Total,M,15-64,occupati,2020,12541037,Attivita' immobiliari,922
Total,M,15-64,occupati,2020,12541037,Attivita' manifatturiere,74721
Total,M,15-64,occupati,2020,12541037,"Attivita' professionali, scientifiche e tecniche",3771
Total,M,15-64,occupati,2020,12541037,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",36029
Total,M,15-64,occupati,2020,12541037,Costruzioni,32125
Total,M,15-64,occupati,2020,12541037,Estrazione di minerali da cave e miniere,364
Total,M,15-64,occupati,2020,12541037,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",10167
Total,M,15-64,occupati,2020,12541037,"Fornitura di energia elettrica, gas, vapore e aria condizionata",634
Total,M,15-64,occupati,2020,12541037,Istruzione,3445
Total,M,15-64,occupati,2020,12541037,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",23996
Total,M,15-64,occupati,2020,12541037,Non determinato,129636
Total,M,15-64,occupati,2020,12541037,Organizzazioni ed organismi extraterritoriali,62
Total,M,15-64,occupati,2020,12541037,Sanita' e assistenza sociale,161631
Total,M,15-64,occupati,2020,12541037,Servizi di informazione e comunicazione,3661
Total,M,15-64,occupati,2020,12541037,Trasporto e magazzinaggio,37914
Total,M,15-64,occupati,2020,12541037,"Agricoltura, silvicoltura e pesca",1132
Total,M,15-64,occupati,2020,12541037,Altre attivita' di servizi,5315
Total,M,15-64,occupati,2020,12541037,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",11065
Total,M,15-64,occupati,2020,12541037,"Attivita' artistiche, sportive, di intrattenimento e divertimento",3190
Total,M,15-64,occupati,2020,12541037,Attivita' dei servizi di alloggio e di ristorazione,18268
Total,M,15-64,occupati,2020,12541037,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",27
Total,M,15-64,occupati,2020,12541037,Attivita' finanziarie e assicurative,2862
Total,M,15-64,occupati,2020,12541037,Attivita' immobiliari,922
Total,M,15-64,occupati,2020,12541037,Attivita' manifatturiere,74721
Total,M,15-64,occupati,2020,12541037,"Attivita' professionali, scientifiche e tecniche",3771
Total,M,15-64,occupati,2020,12541037,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",36029
Total,M,15-64,occupati,2020,12541037,Costruzioni,32125
Total,M,15-64,occupati,2020,12541037,Estrazione di minerali da cave e miniere,364
Total,M,15-64,occupati,2020,12541037,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",10167
Total,M,15-64,occupati,2020,12541037,"Fornitura di energia elettrica, gas, vapore e aria condizionata",634
Total,M,15-64,occupati,2020,12541037,Istruzione,3445
Total,M,15-64,occupati,2020,12541037,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",23996
Total,M,15-64,occupati,2020,12541037,Non determinato,129636
Total,M,15-64,occupati,2020,12541037,Organizzazioni ed organismi extraterritoriali,62
Total,M,15-64,occupati,2020,12541037,Sanita' e assistenza sociale,161631
Total,M,15-64,occupati,2020,12541037,Servizi di informazione e comunicazione,3661
Total,M,15-64,occupati,2020,12541037,Trasporto e magazzinaggio,37914
Total,M,15-64,occupati,2021,12558748,"Agricoltura, silvicoltura e pesca",1049
Total,M,15-64,occupati,2021,12558748,Altre attivita' di servizi,5316
Total,M,15-64,occupati,2021,12558748,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",11791
Total,M,15-64,occupati,2021,12558748,"Attivita' artistiche, sportive, di intrattenimento e divertimento",3801
Total,M,15-64,occupati,2021,12558748,Attivita' dei servizi di alloggio e di ristorazione,21912
Total,M,15-64,occupati,2021,12558748,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",26
Total,M,15-64,occupati,2021,12558748,Attivita' finanziarie e assicurative,2838
Total,M,15-64,occupati,2021,12558748,Attivita' immobiliari,982
Total,M,15-64,occupati,2021,12558748,Attivita' manifatturiere,89258
Total,M,15-64,occupati,2021,12558748,"Attivita' professionali, scientifiche e tecniche",4565
Total,M,15-64,occupati,2021,12558748,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",41743
Total,M,15-64,occupati,2021,12558748,Costruzioni,40068
Total,M,15-64,occupati,2021,12558748,Estrazione di minerali da cave e miniere,439
Total,M,15-64,occupati,2021,12558748,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11098
Total,M,15-64,occupati,2021,12558748,"Fornitura di energia elettrica, gas, vapore e aria condizionata",706
Total,M,15-64,occupati,2021,12558748,Istruzione,4376
Total,M,15-64,occupati,2021,12558748,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",26663
Total,M,15-64,occupati,2021,12558748,Non determinato,155427
Total,M,15-64,occupati,2021,12558748,Organizzazioni ed organismi extraterritoriali,64
Total,M,15-64,occupati,2021,12558748,Sanita' e assistenza sociale,77934
Total,M,15-64,occupati,2021,12558748,Servizi di informazione e comunicazione,4458
Total,M,15-64,occupati,2021,12558748,Trasporto e magazzinaggio,48449
Total,M,15-64,occupati,2021,12558748,"Agricoltura, silvicoltura e pesca",1049
Total,M,15-64,occupati,2021,12558748,Altre attivita' di servizi,5316
Total,M,15-64,occupati,2021,12558748,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",11791
Total,M,15-64,occupati,2021,12558748,"Attivita' artistiche, sportive, di intrattenimento e divertimento",3801
Total,M,15-64,occupati,2021,12558748,Attivita' dei servizi di alloggio e di ristorazione,21912
Total,M,15-64,occupati,2021,12558748,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",26
Total,M,15-64,occupati,2021,12558748,Attivita' finanziarie e assicurative,2838
Total,M,15-64,occupati,2021,12558748,Attivita' immobiliari,982
Total,M,15-64,occupati,2021,12558748,Attivita' manifatturiere,89258
Total,M,15-64,occupati,2021,12558748,"Attivita' professionali, scientifiche e tecniche",4565
Total,M,15-64,occupati,2021,12558748,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",41743
Total,M,15-64,occupati,2021,12558748,Costruzioni,40068
Total,M,15-64,occupati,2021,12558748,Estrazione di minerali da cave e miniere,439
Total,M,15-64,occupati,2021,12558748,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11098
Total,M,15-64,occupati,2021,12558748,"Fornitura di energia elettrica, gas, vapore e aria condizionata",706
Total,M,15-64,occupati,2021,12558748,Istruzione,4376
Total,M,15-64,occupati,2021,12558748,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",26663
Total,M,15-64,occupati,2021,12558748,Non determinato,155427
Total,M,15-64,occupati,2021,12558748,Organizzazioni ed organismi extraterritoriali,64
Total,M,15-64,occupati,2021,12558748,Sanita' e assistenza sociale,77934
Total,M,15-64,occupati,2021,12558748,Servizi di informazione e comunicazione,4458
Total,M,15-64,occupati,2021,12558748,Trasporto e magazzinaggio,48449
Total,M,15-64,occupati,2022,12884366,"Agricoltura, silvicoltura e pesca",1061
Total,M,15-64,occupati,2022,12884366,Altre attivita' di servizi,5911
Total,M,15-64,occupati,2022,12884366,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",14848
Total,M,15-64,occupati,2022,12884366,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4444
Total,M,15-64,occupati,2022,12884366,Attivita' dei servizi di alloggio e di ristorazione,27737
Total,M,15-64,occupati,2022,12884366,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",17
Total,M,15-64,occupati,2022,12884366,Attivita' finanziarie e assicurative,3156
Total,M,15-64,occupati,2022,12884366,Attivita' immobiliari,1082
Total,M,15-64,occupati,2022,12884366,Attivita' manifatturiere,92901
Total,M,15-64,occupati,2022,12884366,"Attivita' professionali, scientifiche e tecniche",5051
Total,M,15-64,occupati,2022,12884366,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",44629
Total,M,15-64,occupati,2022,12884366,Costruzioni,43108
Total,M,15-64,occupati,2022,12884366,Estrazione di minerali da cave e miniere,400
Total,M,15-64,occupati,2022,12884366,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11723
Total,M,15-64,occupati,2022,12884366,"Fornitura di energia elettrica, gas, vapore e aria condizionata",744
Total,M,15-64,occupati,2022,12884366,Istruzione,5063
Total,M,15-64,occupati,2022,12884366,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",28367
Total,M,15-64,occupati,2022,12884366,Non determinato,189397
Total,M,15-64,occupati,2022,12884366,Organizzazioni ed organismi extraterritoriali,83
Total,M,15-64,occupati,2022,12884366,Sanita' e assistenza sociale,141889
Total,M,15-64,occupati,2022,12884366,Servizi di informazione e comunicazione,4039
Total,M,15-64,occupati,2022,12884366,Trasporto e magazzinaggio,63544
Total,M,15-64,occupati,2022,12884366,"Agricoltura, silvicoltura e pesca",1061
Total,M,15-64,occupati,2022,12884366,Altre attivita' di servizi,5911
Total,M,15-64,occupati,2022,12884366,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",14848
Total,M,15-64,occupati,2022,12884366,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4444
Total,M,15-64,occupati,2022,12884366,Attivita' dei servizi di alloggio e di ristorazione,27737
Total,M,15-64,occupati,2022,12884366,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",17
Total,M,15-64,occupati,2022,12884366,Attivita' finanziarie e assicurative,3156
Total,M,15-64,occupati,2022,12884366,Attivita' immobiliari,1082
Total,M,15-64,occupati,2022,12884366,Attivita' manifatturiere,92901
Total,M,15-64,occupati,2022,12884366,"Attivita' professionali, scientifiche e tecniche",5051
Total,M,15-64,occupati,2022,12884366,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",44629
Total,M,15-64,occupati,2022,12884366,Costruzioni,43108
Total,M,15-64,occupati,2022,12884366,Estrazione di minerali da cave e miniere,400
Total,M,15-64,occupati,2022,12884366,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11723
Total,M,15-64,occupati,2022,12884366,"Fornitura di energia elettrica, gas, vapore e aria condizionata",744
Total,M,15-64,occupati,2022,12884366,Istruzione,5063
Total,M,15-64,occupati,2022,12884366,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",28367
Total,M,15-64,occupati,2022,12884366,Non determinato,189397
Total,M,15-64,occupati,2022,12884366,Organizzazioni ed organismi extraterritoriali,83
Total,M,15-64,occupati,2022,12884366,Sanita' e assistenza sociale,141889
Total,M,15-64,occupati,2022,12884366,Servizi di informazione e comunicazione,4039
Total,M,15-64,occupati,2022,12884366,Trasporto e magazzinaggio,63544
NordEst,M,15-64,occupati,2018,2760065,"Agricoltura, silvicoltura e pesca",523
NordEst,M,15-64,occupati,2018,2760065,Altre attivita' di servizi,1731
NordEst,M,15-64,occupati,2018,2760065,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",4229
NordEst,M,15-64,occupati,2018,2760065,"Attivita' artistiche, sportive, di intrattenimento e divertimento",1170
NordEst,M,15-64,occupati,2018,2760065,Attivita' dei servizi di alloggio e di ristorazione,9885
NordEst,M,15-64,occupati,2018,2760065,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",4
NordEst,M,15-64,occupati,2018,2760065,Attivita' finanziarie e assicurative,1105
NordEst,M,15-64,occupati,2018,2760065,Attivita' immobiliari,613
NordEst,M,15-64,occupati,2018,2760065,Attivita' manifatturiere,43740
NordEst,M,15-64,occupati,2018,2760065,"Attivita' professionali, scientifiche e tecniche",1671
NordEst,M,15-64,occupati,2018,2760065,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",14815
NordEst,M,15-64,occupati,2018,2760065,Costruzioni,13788
NordEst,M,15-64,occupati,2018,2760065,Estrazione di minerali da cave e miniere,122
NordEst,M,15-64,occupati,2018,2760065,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",2266
NordEst,M,15-64,occupati,2018,2760065,"Fornitura di energia elettrica, gas, vapore e aria condizionata",247
NordEst,M,15-64,occupati,2018,2760065,Istruzione,1825
