MacroRegione,Genere,AgeGroup,Condizione professionale europea,Year,Occupati,DescrAtecoLiv1,Count
Total,M,15+,occupati,2019,13335637,Organizzazioni ed organismi extraterritoriali,97
Total,M,15+,occupati,2019,13335637,Sanita' e assistenza sociale,52151
Total,M,15+,occupati,2019,13335637,Servizi di informazione e comunicazione,5107
Total,M,15+,occupati,2019,13335637,Trasporto e magazzinaggio,47486
Total,M,15+,occupati,2019,13335637,"Agricoltura, silvicoltura e pesca",1182
Total,M,15+,occupati,2019,13335637,Altre attivita' di servizi,6002
Total,M,15+,occupati,2019,13335637,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",13642
Total,M,15+,occupati,2019,13335637,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4443
Total,M,15+,occupati,2019,13335637,Attivita' dei servizi di alloggio e di ristorazione,31021
Total,M,15+,occupati,2019,13335637,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",35
Total,M,15+,occupati,2019,13335637,Attivita' finanziarie e assicurative,4616
Total,M,15+,occupati,2019,13335637,Attivita' immobiliari,1688
Total,M,15+,occupati,2019,13335637,Attivita' manifatturiere,101961
Total,M,15+,occupati,2019,13335637,"Attivita' professionali, scientifiche e tecniche",5960
Total,M,15+,occupati,2019,13335637,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",47992
Total,M,15+,occupati,2019,13335637,Costruzioni,40022
Total,M,15+,occupati,2019,13335637,Estrazione di minerali da cave e miniere,451
Total,M,15+,occupati,2019,13335637,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",13229
Total,M,15+,occupati,2019,13335637,"Fornitura di energia elettrica, gas, vapore e aria condizionata",998
Total,M,15+,occupati,2019,13335637,Istruzione,5742
Total,M,15+,occupati,2019,13335637,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",30791
Total,M,15+,occupati,2019,13335637,Non determinato,216531
Total,M,15+,occupati,2019,13335637,Organizzazioni ed organismi extraterritoriali,97
Total,M,15+,occupati,2019,13335637,Sanita' e assistenza sociale,52151
Total,M,15+,occupati,2019,13335637,Servizi di informazione e comunicazione,5107
Total,M,15+,occupati,2019,13335637,Trasporto e magazzinaggio,47486
Total,M,15+,occupati,2020,12987414,"Agricoltura, silvicoltura e pesca",1132
Total,M,15+,occupati,2020,12987414,Altre attivita' di servizi,5315
Total,M,15+,occupati,2020,12987414,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",11065
Total,M,15+,occupati,2020,12987414,"Attivita' artistiche, sportive, di intrattenimento e divertimento",3190
Total,M,15+,occupati,2020,12987414,Attivita' dei servizi di alloggio e di ristorazione,18268
Total,M,15+,occupati,2020,12987414,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",27
Total,M,15+,occupati,2020,12987414,Attivita' finanziarie e assicurative,2862
Total,M,15+,occupati,2020,12987414,Attivita' immobiliari,922
Total,M,15+,occupati,2020,12987414,Attivita' manifatturiere,74721
Total,M,15+,occupati,2020,12987414,"Attivita' professionali, scientifiche e tecniche",3771
Total,M,15+,occupati,2020,12987414,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",36029
Total,M,15+,occupati,2020,12987414,Costruzioni,32125
Total,M,15+,occupati,2020,12987414,Estrazione di minerali da cave e miniere,364
Total,M,15+,occupati,2020,12987414,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",10167
Total,M,15+,occupati,2020,12987414,"Fornitura di energia elettrica, gas, vapore e aria condizionata",634
Total,M,15+,occupati,2020,12987414,Istruzione,3445
Total,M,15+,occupati,2020,12987414,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",23996
Total,M,15+,occupati,2020,12987414,Non determinato,129636
Total,M,15+,occupati,2020,12987414,Organizzazioni ed organismi extraterritoriali,62
Total,M,15+,occupati,2020,12987414,Sanita' e assistenza sociale,161631
Total,M,15+,occupati,2020,12987414,Servizi di informazione e comunicazione,3661
Total,M,15+,occupati,2020,12987414,Trasporto e magazzinaggio,37914
Total,M,15+,occupati,2020,12987414,"Agricoltura, silvicoltura e pesca",1132
Total,M,15+,occupati,2020,12987414,Altre attivita' di servizi,5315
Total,M,15+,occupati,2020,12987414,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",11065
Total,M,15+,occupati,2020,12987414,"Attivita' artistiche, sportive, di intrattenimento e divertimento",3190
Total,M,15+,occupati,2020,12987414,Attivita' dei servizi di alloggio e di ristorazione,18268
Total,M,15+,occupati,2020,12987414,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",27
Total,M,15+,occupati,2020,12987414,Attivita' finanziarie e assicurative,2862
Total,M,15+,occupati,2020,12987414,Attivita' immobiliari,922
Total,M,15+,occupati,2020,12987414,Attivita' manifatturiere,74721
Total,M,15+,occupati,2020,12987414,"Attivita' professionali, scientifiche e tecniche",3771
Total,M,15+,occupati,2020,12987414,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",36029
Total,M,15+,occupati,2020,12987414,Costruzioni,32125
Total,M,15+,occupati,2020,12987414,Estrazione di minerali da cave e miniere,364
Total,M,15+,occupati,2020,12987414,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",10167
Total,M,15+,occupati,2020,12987414,"Fornitura di energia elettrica, gas, vapore e aria condizionata",634
Total,M,15+,occupati,2020,12987414,Istruzione,3445
Total,M,15+,occupati,2020,12987414,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",23996
Total,M,15+,occupati,2020,12987414,Non determinato,129636
Total,M,15+,occupati,2020,12987414,Organizzazioni ed organismi extraterritoriali,62
Total,M,15+,occupati,2020,12987414,Sanita' e assistenza sociale,161631
Total,M,15+,occupati,2020,12987414,Servizi di informazione e comunicazione,3661
Total,M,15+,occupati,2020,12987414,Trasporto e magazzinaggio,37914
Total,M,15+,occupati,2021,13043604,"Agricoltura, silvicoltura e pesca",1049
Total,M,15+,occupati,2021,13043604,Altre attivita' di servizi,5316
Total,M,15+,occupati,2021,13043604,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",11791
Total,M,15+,occupati,2021,13043604,"Attivita' artistiche, sportive, di intrattenimento e divertimento",3801
Total,M,15+,occupati,2021,13043604,Attivita' dei servizi di alloggio e di ristorazione,21912
Total,M,15+,occupati,2021,13043604,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",26
Total,M,15+,occupati,2021,13043604,Attivita' finanziarie e assicurative,2838
Total,M,15+,occupati,2021,13043604,Attivita' immobiliari,982
Total,M,15+,occupati,2021,13043604,Attivita' manifatturiere,89258
Total,M,15+,occupati,2021,13043604,"Attivita' professionali, scientifiche e tecniche",4565
Total,M,15+,occupati,2021,13043604,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",41743
Total,M,15+,occupati,2021,13043604,Costruzioni,40068
Total,M,15+,occupati,2021,13043604,Estrazione di minerali da cave e miniere,439
Total,M,15+,occupati,2021,13043604,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11098
Total,M,15+,occupati,2021,13043604,"Fornitura di energia elettrica, gas, vapore e aria condizionata",706
Total,M,15+,occupati,2021,13043604,Istruzione,4376
Total,M,15+,occupati,2021,13043604,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",26663
Total,M,15+,occupati,2021,13043604,Non determinato,155427
Total,M,15+,occupati,2021,13043604,Organizzazioni ed organismi extraterritoriali,64
Total,M,15+,occupati,2021,13043604,Sanita' e assistenza sociale,77934
Total,M,15+,occupati,2021,13043604,Servizi di informazione e comunicazione,4458
Total,M,15+,occupati,2021,13043604,Trasporto e magazzinaggio,48449
Total,M,15+,occupati,2021,13043604,"Agricoltura, silvicoltura e pesca",1049
Total,M,15+,occupati,2021,13043604,Altre attivita' di servizi,5316
Total,M,15+,occupati,2021,13043604,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",11791
Total,M,15+,occupati,2021,13043604,"Attivita' artistiche, sportive, di intrattenimento e divertimento",3801
Total,M,15+,occupati,2021,13043604,Attivita' dei servizi di alloggio e di ristorazione,21912
Total,M,15+,occupati,2021,13043604,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",26
Total,M,15+,occupati,2021,13043604,Attivita' finanziarie e assicurative,2838
Total,M,15+,occupati,2021,13043604,Attivita' immobiliari,982
Total,M,15+,occupati,2021,13043604,Attivita' manifatturiere,89258
Total,M,15+,occupati,2021,13043604,"Attivita' professionali, scientifiche e tecniche",4565
Total,M,15+,occupati,2021,13043604,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",41743
Total,M,15+,occupati,2021,13043604,Costruzioni,40068
Total,M,15+,occupati,2021,13043604,Estrazione di minerali da cave e miniere,439
Total,M,15+,occupati,2021,13043604,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11098
Total,M,15+,occupati,2021,13043604,"Fornitura di energia elettrica, gas, vapore e aria condizionata",706
Total,M,15+,occupati,2021,13043604,Istruzione,4376
Total,M,15+,occupati,2021,13043604,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",26663
Total,M,15+,occupati,2021,13043604,Non determinato,155427
Total,M,15+,occupati,2021,13043604,Organizzazioni ed organismi extraterritoriali,64
Total,M,15+,occupati,2021,13043604,Sanita' e assistenza sociale,77934
Total,M,15+,occupati,2021,13043604,Servizi di informazione e comunicazione,4458
Total,M,15+,occupati,2021,13043604,Trasporto e magazzinaggio,48449
Total,M,15+,occupati,2022,13350191,"Agricoltura, silvicoltura e pesca",1061
Total,M,15+,occupati,2022,13350191,Altre attivita' di servizi,5911
Total,M,15+,occupati,2022,13350191,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",14848
Total,M,15+,occupati,2022,13350191,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4444
Total,M,15+,occupati,2022,13350191,Attivita' dei servizi di alloggio e di ristorazione,27737
Total,M,15+,occupati,2022,13350191,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",17
Total,M,15+,occupati,2022,13350191,Attivita' finanziarie e assicurative,3156
Total,M,15+,occupati,2022,13350191,Attivita' immobiliari,1082
Total,M,15+,occupati,2022,13350191,Attivita' manifatturiere,92901
Total,M,15+,occupati,2022,13350191,"Attivita' professionali, scientifiche e tecniche",5051
Total,M,15+,occupati,2022,13350191,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",44629
Total,M,15+,occupati,2022,13350191,Costruzioni,43108
Total,M,15+,occupati,2022,13350191,Estrazione di minerali da cave e miniere,400
Total,M,15+,occupati,2022,13350191,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11723
Total,M,15+,occupati,2022,13350191,"Fornitura di energia elettrica, gas, vapore e aria condizionata",744
Total,M,15+,occupati,2022,13350191,Istruzione,5063
Total,M,15+,occupati,2022,13350191,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",28367
Total,M,15+,occupati,2022,13350191,Non determinato,189397
Total,M,15+,occupati,2022,13350191,Organizzazioni ed organismi extraterritoriali,83
Total,M,15+,occupati,2022,13350191,Sanita' e assistenza sociale,141889
Total,M,15+,occupati,2022,13350191,Servizi di informazione e comunicazione,4039
Total,M,15+,occupati,2022,13350191,Trasporto e magazzinaggio,63544
Total,M,15+,occupati,2022,13350191,"Agricoltura, silvicoltura e pesca",1061
Total,M,15+,occupati,2022,13350191,Altre attivita' di servizi,5911
Total,M,15+,occupati,2022,13350191,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",14848
Total,M,15+,occupati,2022,13350191,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4444
Total,M,15+,occupati,2022,13350191,Attivita' dei servizi di alloggio e di ristorazione,27737
Total,M,15+,occupati,2022,13350191,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",17
Total,M,15+,occupati,2022,13350191,Attivita' finanziarie e assicurative,3156
Total,M,15+,occupati,2022,13350191,Attivita' immobiliari,1082
Total,M,15+,occupati,2022,13350191,Attivita' manifatturiere,92901
Total,M,15+,occupati,2022,13350191,"Attivita' professionali, scientifiche e tecniche",5051
Total,M,15+,occupati,2022,13350191,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",44629
Total,M,15+,occupati,2022,13350191,Costruzioni,43108
Total,M,15+,occupati,2022,13350191,Estrazione di minerali da cave e miniere,400
Total,M,15+,occupati,2022,13350191,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",11723
Total,M,15+,occupati,2022,13350191,"Fornitura di energia elettrica, gas, vapore e aria condizionata",744
Total,M,15+,occupati,2022,13350191,Istruzione,5063
Total,M,15+,occupati,2022,13350191,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",28367
Total,M,15+,occupati,2022,13350191,Non determinato,189397
Total,M,15+,occupati,2022,13350191,Organizzazioni ed organismi extraterritoriali,83
Total,M,15+,occupati,2022,13350191,Sanita' e assistenza sociale,141889
Total,M,15+,occupati,2022,13350191,Servizi di informazione e comunicazione,4039
Total,M,15+,occupati,2022,13350191,Trasporto e magazzinaggio,63544
Total,F,15-64,occupati,2018,94897130,"Agricoltura, silvicoltura e pesca",1292
Total,F,15-64,occupati,2018,94897130,Altre attivita' di servizi,6151
Total,F,15-64,occupati,2018,94897130,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",13996
Total,F,15-64,occupati,2018,94897130,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4264
Total,F,15-64,occupati,2018,94897130,Attivita' dei servizi di alloggio e di ristorazione,30118
Total,F,15-64,occupati,2018,94897130,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",30
Total,F,15-64,occupati,2018,94897130,Attivita' finanziarie e assicurative,4761
Total,F,15-64,occupati,2018,94897130,Attivita' immobiliari,1946
Total,F,15-64,occupati,2018,94897130,Attivita' manifatturiere,102501
Total,F,15-64,occupati,2018,94897130,"Attivita' professionali, scientifiche e tecniche",6175
Total,F,15-64,occupati,2018,94897130,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",47962
Total,F,15-64,occupati,2018,94897130,Costruzioni,39088
Total,F,15-64,occupati,2018,94897130,Estrazione di minerali da cave e miniere,516
Total,F,15-64,occupati,2018,94897130,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",13175
Total,F,15-64,occupati,2018,94897130,"Fornitura di energia elettrica, gas, vapore e aria condizionata",1006
Total,F,15-64,occupati,2018,94897130,Istruzione,5631
Total,F,15-64,occupati,2018,94897130,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",30741
Total,F,15-64,occupati,2018,94897130,Non determinato,218855
Total,F,15-64,occupati,2018,94897130,Organizzazioni ed organismi extraterritoriali,95
Total,F,15-64,occupati,2018,94897130,Sanita' e assistenza sociale,51073
Total,F,15-64,occupati,2018,94897130,Servizi di informazione e comunicazione,5298
Total,F,15-64,occupati,2018,94897130,Trasporto e magazzinaggio,47028
Total,F,15-64,occupati,2018,94897130,"Agricoltura, silvicoltura e pesca",1292
Total,F,15-64,occupati,2018,94897130,Altre attivita' di servizi,6151
Total,F,15-64,occupati,2018,94897130,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",13996
Total,F,15-64,occupati,2018,94897130,"Attivita' artistiche, sportive, di intrattenimento e divertimento",4264
Total,F,15-64,occupati,2018,94897130,Attivita' dei servizi di alloggio e di ristorazione,30118
Total,F,15-64,occupati,2018,94897130,"Attivita' di famiglie e convivenze come datori di lavoro per personale domestico, produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze",30
Total,F,15-64,occupati,2018,94897130,Attivita' finanziarie e assicurative,4761
Total,F,15-64,occupati,2018,94897130,Attivita' immobiliari,1946
Total,F,15-64,occupati,2018,94897130,Attivita' manifatturiere,102501
Total,F,15-64,occupati,2018,94897130,"Attivita' professionali, scientifiche e tecniche",6175
