Anno,Regione,Occupati,Area Geografica,DescrAtecoLiv1,Settore,Numero Incidenti,Percentage,PercentageOccupati
2018,Calabria,540555,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,769.0,0.06086730768621913,0.14226119451304675
2018,Calabria,540555,Sud,Costruzioni,Secondario,668.0,0.05287303190428398,0.12357669432342686
2018,Calabria,540555,Sud,Estrazione di minerali da cave e miniere,Primario,14.0,0.0011081174351197241,0.0025899307193532574
2018,Calabria,540555,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,288.0,0.02279555866532004,0.05327857479812415
2018,Calabria,540555,Sud,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,22.0,0.0017413273980452807,0.004069891130412262
2018,Calabria,540555,Sud,Istruzione,Terziario,29.0,0.002295386115605143,0.00536485649008889
2018,Calabria,540555,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,441.0,0.03490569920627131,0.0815828176596276
2018,Calabria,540555,Sud,Non determinato,Terziario,4135.0,0.3272903995871471,0.7649545374661229
2018,Calabria,540555,Sud,Sanita' e assistenza sociale,Terziario,1196.0,0.09466488945737073,0.22125408145332112
2018,Calabria,540555,Sud,Servizi di informazione e comunicazione,Terziario,50.0,0.003957562268284729,0.009249752569118776
2018,Calabria,540555,Sud,Trasporto e magazzinaggio,Terziario,779.0,0.06165882013987608,0.14411114502687053
2018,Campania,1640948,Sud,"Agricoltura, silvicoltura e pesca",Primario,51.0,0.004036713513650423,0.003107959545335989
2018,Campania,1640948,Sud,Altre attivita' di servizi,Terziario,198.0,0.015671946582407528,0.012066195881892661
2018,Campania,1640948,Sud,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,711.0,0.05627653545500885,0.04332861248497819
2018,Campania,1640948,Sud,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,221.0,0.017492425225818505,0.01346782469645595
2018,Campania,1640948,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,890.0,0.07044460837546818,0.05423694108527509
2018,Campania,1640948,Sud,Attivita' finanziarie e assicurative,Terziario,189.0,0.014959585374116275,0.011517732432715722
2018,Campania,1640948,Sud,Attivita' immobiliari,Terziario,91.0,0.007202763328278207,0.005545574875011274
