Anno,DescrAtecoLiv1,Area Geografica,Occupati,Numero morti,Percentage,PercentageOccupati
2018,Costruzioni,Total,22958728,186,7.317073170731707,2.9755589765348844
2018,Estrazione di minerali da cave e miniere,Centro,1578180,1,0.03933910306845004,0.20453954006458128
2018,Estrazione di minerali da cave e miniere,NordEst,2630997,2,0.07867820613690008,0.3409895679144921
2018,Estrazione di minerali da cave e miniere,Total,22958728,3,0.11801730920535011,2.9755589765348844
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Centro,4535340,9,0.35405192761605037,0.5878013646329937
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",NordEst,4616374,7,0.2753737214791503,0.5983037516164768
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",NordOvest,6810558,9,0.35405192761605037,0.8826803031993526
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Sud,5405392,13,0.5114083398898506,0.7005641901106129
2018,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Total,22958728,38,1.4948859166011015,2.9755589765348844
2018,"Fornitura di energia elettrica, gas, vapore e aria condizionata",NordEst,2123868,1,0.03933910306845004,0.27526326773744575
2018,"Fornitura di energia elettrica, gas, vapore e aria condizionata",NordOvest,4393446,1,0.03933910306845004,0.5694112358150365
2018,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Sud,1342938,1,0.03933910306845004,0.1740510720293304
2018,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Total,22958728,3,0.11801730920535011,2.9755589765348844
2018,Istruzione,NordEst,2123868,1,0.03933910306845004,0.27526326773744575
2018,Istruzione,NordOvest,4393446,2,0.07867820613690008,0.5694112358150365
2018,Istruzione,Total,22958728,3,0.11801730920535011,2.9755589765348844
2018,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Centro,4252603,16,0.6294256490952006,0.5511573215331955
2018,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",NordEst,5123503,11,0.4327301337529505,0.6640300517935231
2018,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",NordOvest,6810558,27,1.0621557828481512,0.8826803031993526
2018,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Sud,5017427,19,0.7474429583005507,0.6502821039980305
2018,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Total,22958728,73,2.8717545239968527,2.9755589765348844
2018,Non determinato,Centro,4884790,45,1.770259638080252,0.633091725856408
2018,Non determinato,NordEst,5123503,52,2.0456333595594023,0.6640300517935231
2018,Non determinato,NordOvest,6810558,47,1.8489378442171518,0.8826803031993526
2018,Non determinato,Sud,5511350,112,4.405979543666405,0.7142968445519079
2018,Non determinato,Total,22958728,256,10.07081038552321,2.9755589765348844
2018,Sanita' e assistenza sociale,Centro,4884790,6,0.23603461841070023,0.633091725856408
2018,Sanita' e assistenza sociale,NordEst,4627332,12,0.47206923682140045,0.5997239598817112
2018,Sanita' e assistenza sociale,NordOvest,4995012,9,0.35405192761605037,0.6473770147239633
2018,Sanita' e assistenza sociale,Sud,4726141,13,0.5114083398898506,0.6125300703470835
2018,Sanita' e assistenza sociale,Total,22958728,40,1.5735641227380015,2.9755589765348844
2018,Servizi di informazione e comunicazione,Centro,3903153,7,0.2753737214791503,0.5058669603097812
