Area Geografica,Anno,Regione,Occupati,Settore,Count,Percentage,PercentageOccupati
NordOvest,2023,LiguriaLiguriaLombardiaLombardiaLombardiaPiemontePiemonteValle D'Aosta,18426717,SecondarioTerziarioPrimarioSecondarioTerziarioSecondarioTerziarioTerziario,108,400.0,0.006327867249212132
NordOvest,2024,LiguriaLiguriaLombardiaLombardiaPiemontePiemonteValle D'AostaValle D'Aosta,0,SecondarioTerziarioSecondarioTerziarioSecondarioTerziarioSecondarioTerziario,106,400.0,inf
Sud,2018,AbruzzoAbruzzoBasilicataBasilicataBasilicataCalabriaCalabriaCampaniaCampaniaCampaniaMoliseMolisePugliaPugliaSiciliaSiciliaSicilia,14191914,SecondarioTerziarioPrimarioSecondarioTerziarioSecondarioTerziarioPrimarioSecondarioTerziarioSecondarioTerziarioSecondarioTerziarioPrimarioSecondarioTerziario,387,700.0,0.06098176122409957
Sud,2019,AbruzzoAbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCampaniaCampaniaCampaniaMoliseMolisePugliaPugliaPugliaSiciliaSiciliaSicilia,15696808,PrimarioSecondarioTerziarioSecondarioTerziarioSecondarioTerziarioPrimarioSecondarioTerziarioSecondarioTerziarioPrimarioSecondarioTerziarioPrimarioSecondarioTerziario,367,700.0,0.05603122800001431
Sud,2020,AbruzzoAbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCampaniaCampaniaCampaniaMoliseMolisePugliaPugliaSiciliaSicilia,12725388,PrimarioSecondarioTerziarioSecondarioTerziarioSecondarioTerziarioPrimarioSecondarioTerziarioSecondarioTerziarioSecondarioTerziarioSecondarioTerziario,523,700.0,0.07015726058530684
Sud,2021,AbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCampaniaCampaniaCampaniaMoliseMolisePugliaPugliaPugliaSiciliaSiciliaSicilia,14918544,SecondarioTerziarioSecondarioTerziarioSecondarioTerziarioPrimarioSecondarioTerziarioSecondarioTerziarioPrimarioSecondarioTerziarioPrimarioSecondarioTerziario,451,700.0,0.0710127225577667
Sud,2022,AbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCalabriaCampaniaCampaniaMoliseMolisePugliaPugliaPugliaSiciliaSiciliaSicilia,14229860,SecondarioTerziarioSecondarioTerziarioPrimarioSecondarioTerziarioSecondarioTerziarioSecondarioTerziarioPrimarioSecondarioTerziarioPrimarioSecondarioTerziario,337,700.0,0.04340550050267058
Sud,2023,AbruzzoAbruzzoBasilicataCalabriaCalabriaCampaniaCampaniaCampaniaPugliaPugliaSiciliaSicilia,12735476,SecondarioTerziarioTerziarioSecondarioTerziarioPrimarioSecondarioTerziarioSecondarioTerziarioSecondarioTerziario,92,600.0,0.008650217181248908
Sud,2024,AbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCampaniaCampaniaMolisePugliaPugliaSiciliaSicilia,0,SecondarioTerziarioPrimarioSecondarioSecondarioTerziarioSecondarioTerziarioTerziarioSecondarioTerziarioSecondarioTerziario,112,700.0,inf
Total,2018,TotalTotalTotal,0,PrimarioSecondarioTerziario,2542,100.0,inf
Total,2019,TotalTotalTotal,0,PrimarioSecondarioTerziario,2432,100.0,inf
Total,2020,TotalTotalTotal,0,PrimarioSecondarioTerziario,3378,100.0,inf
Total,2021,TotalTotalTotal,0,PrimarioSecondarioTerziario,2804,100.0,inf
Total,2022,TotalTotalTotal,0,PrimarioSecondarioTerziario,2432,100.0,inf
Total,2023,TotalTotalTotal,0,PrimarioSecondarioTerziario,636,100.0,inf
Total,2024,TotalTotalTotal,0,PrimarioSecondarioTerziario,684,100.0,inf
