Anno,Regione,Occupati,Area Geografica,Settore,Count,Percentage,PercentageOccupati
2019,Piemonte,1812535,NordOvest,Secondario,45,42.857142857142854,0.0024827106786903426
2019,Piemonte,1812535,NordOvest,Terziario,59,56.19047619047619,0.003255109556505116
2019,Puglia,1216063,Sud,Primario,2,2.666666666666667,0.00016446516340025145
2019,Puglia,1216063,Sud,Secondario,23,30.666666666666664,0.001891349379102892
2019,Puglia,1216063,Sud,Terziario,50,66.66666666666666,0.004111629085006287
2019,Sardegna,582033,,,0,0.0,0.0
2019,Sicilia,1341533,Sud,Primario,2,2.272727272727273,0.00014908317573999297
2019,Sicilia,1341533,Sud,Secondario,24,27.27272727272727,0.0017889981088799157
2019,Sicilia,1341533,Sud,Terziario,62,70.45454545454545,0.004621578447939782
2019,Toscana,1584130,Centro,Secondario,27,35.526315789473685,0.0017044055727749616
2019,Toscana,1584130,Centro,Terziario,49,64.47368421052632,0.00309318048392493
2019,Total,0,Total,Primario,32,1.3157894736842104,inf
2019,Total,0,Total,Secondario,938,38.569078947368425,inf
2019,Total,0,Total,Terziario,1462,60.11513157894737,inf
2019,Trentino Alto Adige,500166,NordEst,Primario,1,2.941176470588235,0.00019993362203748355
2019,Trentino Alto Adige,500166,NordEst,Secondario,7,20.588235294117645,0.001399535354262385
2019,Trentino Alto Adige,500166,NordEst,Terziario,26,76.47058823529412,0.005198274172974572
2019,Umbria,358279,Centro,Secondario,7,36.84210526315789,0.0019537846203656925
2019,Umbria,358279,Centro,Terziario,12,63.1578947368421,0.0033493450634840445
2019,Valle D'Aosta,55199,NordOvest,Terziario,1,100.0,0.0018116270222286635
2019,Veneto,2153657,NordEst,Primario,2,1.834862385321101,9.286529842031484e-05
2019,Veneto,2153657,NordEst,Secondario,49,44.95412844036697,0.0022751998112977134
2019,Veneto,2153657,NordEst,Terziario,58,53.21100917431193,0.0026930936541891305
2020,Abruzzo,475361,Sud,Primario,1,2.1739130434782608,0.00021036643729712784
2020,Abruzzo,475361,Sud,Secondario,14,30.434782608695656,0.00294513012215979
2020,Abruzzo,475361,Sud,Terziario,31,67.3913043478261,0.006521359556210964
2020,Basilicata,183695,Sud,Secondario,3,30.0,0.001633141892811454
2020,Basilicata,183695,Sud,Terziario,7,70.0,0.0038106644165600586
2020,Calabria,513834,Sud,Secondario,15,30.612244897959183,0.002919230724319527
2020,Calabria,513834,Sud,Terziario,34,69.38775510204081,0.006616922975124262
2020,Campania,1569819,Sud,Primario,1,0.5376344086021506,6.370161145966509e-05
2020,Campania,1569819,Sud,Secondario,47,25.268817204301076,0.0029939757386042596
