Area Geografica,Anno,Regione,Fascia d'età,Occupati,Count,Percentage,PercentageOccupati
NordOvest,2018,LiguriaLiguriaLiguriaLombardiaLombardiaLombardiaLombardiaPiemontePiemontePiemonteValle D'AostaValle D'Aosta,15+15-6465+0-1415+15-6465+15+15-6465+15+15-64,13729379,695,18.231899265477438,0.09255972411399915
NordOvest,2019,LiguriaLiguriaLiguriaLombardiaLombardiaLombardiaPiemontePiemontePiemonteValle D'AostaValle D'Aosta,15+15-6465+15+15-6465+15+15-6465+15+15-64,13839461,650,17.83264746227709,0.07640155323748177
NordOvest,2020,LiguriaLiguriaLiguriaLombardiaLombardiaLombardiaPiemontePiemontePiemonteValle D'AostaValle D'AostaValle D'Aosta,15+15-6465+15+15-6465+15+15-6465+15+15-6465+,13391850,1102,21.761453396524487,0.27228000407943037
NordOvest,2021,LiguriaLiguriaLiguriaLombardiaLombardiaLombardiaPiemontePiemontePiemonteValle D'AostaValle D'AostaValle D'Aosta,15+15-6465+15+15-6465+15+15-6465+15+15-6465+,13494316,734,17.459562321598476,0.20924993215275375
NordOvest,2022,LiguriaLiguriaLiguriaLombardiaLombardiaLombardiaPiemontePiemontePiemonteValle D'AostaValle D'Aosta,15+15-6465+15+15-6465+15+15-6465+15+15-64,13760643,666,18.266593527153045,0.08674826951411889
NordOvest,2023,LiguriaLiguriaLombardiaLombardiaLombardiaPiemontePiemonteValle D'AostaValle D'Aosta,15+15-6415+15-6465+15+15-6415+15-64,13902939,216,22.71293375394322,0.019276372093344835
NordOvest,2024,LiguriaLiguriaLiguriaLombardiaLombardiaLombardiaLombardiaPiemontePiemontePiemonteValle D'AostaValle D'AostaValle D'Aosta,15+15-6465+0-1415+15-6465+15+15-6465+15+15-6465+,0,211,20.645792563600782,0.0
Sud,2018,AbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCalabriaCampaniaCampaniaCampaniaMoliseMoliseMolisePugliaPugliaPugliaSiciliaSiciliaSicilia,15+15-6415+15-6415+15-6465+15+15-6465+15+15-6465+15+15-6465+15+15-6465+,11004682,774,20.30430220356768,0.27529011201479503
Sud,2019,AbruzzoAbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCalabriaCampaniaCampaniaCampaniaMoliseMoliseMolisePugliaPugliaPugliaSiciliaSiciliaSicilia,15+15-6465+15+15-6415+15-6465+15+15-6465+15+15-6465+15+15-6465+15+15-6465+,11016161,734,20.137174211248286,0.23564970617611894
Sud,2020,AbruzzoAbruzzoAbruzzoBasilicataBasilicataBasilicataCalabriaCalabriaCalabriaCampaniaCampaniaCampaniaMoliseMoliseMolisePugliaPugliaPugliaSiciliaSiciliaSiciliaSicilia,15+15-6465+15+15-6465+15+15-6465+15+15-6465+15+15-6465+15+15-6465+0-1415+15-6465+,10680208,1045,20.635860979462876,0.38916745919117596
Sud,2021,AbruzzoAbruzzoAbruzzoBasilicataBasilicataBasilicataCalabriaCalabriaCalabriaCampaniaCampaniaCampaniaCampaniaMoliseMolisePugliaPugliaPugliaSiciliaSiciliaSicilia,15+15-6465+15+15-6465+15+15-6465+0-1415+15-6465+15+15-6415+15-6465+15+15-6465+,10805554,901,21.43196955280685,0.29363998857905044
Sud,2022,AbruzzoAbruzzoAbruzzoAbruzzoBasilicataBasilicataBasilicataCalabriaCalabriaCalabriaCampaniaCampaniaCampaniaMoliseMolisePugliaPugliaPugliaSiciliaSiciliaSicilia,0-1415+15-6465+15+15-6465+15+15-6465+15+15-6465+15+15-6415+15-6465+15+15-6465+,11093684,673,18.45858475041141,0.22047480497946959
Sud,2023,AbruzzoAbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCampaniaCampaniaCampaniaPugliaPugliaPugliaPugliaSiciliaSiciliaSicilia,15+15-6465+15+15-6415+15-6415+15-6465+0-1415+15-6465+15+15-6465+,11218640,183,19.242902208201894,0.05438117173734255
Sud,2024,AbruzzoAbruzzoAbruzzoBasilicataBasilicataCalabriaCalabriaCalabriaCampaniaCampaniaCampaniaCampaniaMoliseMolisePugliaPugliaPugliaSiciliaSiciliaSicilia,15+15-6465+15+15-6415+15-6465+0-1415+15-6465+15+65+15+15-6465+15+15-6465+,0,223,21.81996086105675,0.0
Total,2018,TotalTotalTotal,0-1415-6465+,0,1271,33.3420776495278,0.0
Total,2019,TotalTotalTotal,0-1415-6465+,0,1216,33.36076817558299,0.0
Total,2020,TotalTotalTotal,0-1415-6465+,0,1689,33.35308056872038,0.0
Total,2021,TotalTotalTotal,0-1415-6465+,0,1402,33.34919124643197,0.0
Total,2022,TotalTotalTotal,0-1415-6465+,0,1216,33.351618211738895,0.0
Total,2023,TotalTotalTotal,0-1415-6465+,0,318,33.4384858044164,0.0
Total,2024,TotalTotalTotal,0-1415-6465+,0,342,33.4637964774951,0.0
