MacroRegione,Genere,AgeGroup,Condizione professionale europea,Year,Occupati,Nazionalità,FinalCount
NordOvest,M,15-64,occupati,2021,3633553,Italiano,307
NordOvest,M,15-64,occupati,2022,3740598,Non Italiano,94
NordOvest,M,15-64,occupati,2022,3740598,Italiano,239
NordOvest,F,15-64,occupati,2018,295149,Non Italiano,64
NordOvest,F,15-64,occupati,2018,295149,Italiano,284
NordOvest,F,15-64,occupati,2019,2978251,Non Italiano,72
NordOvest,F,15-64,occupati,2019,2978251,Italiano,253
NordOvest,F,15-64,occupati,2020,288347,Non Italiano,97
NordOvest,F,15-64,occupati,2020,288347,Italiano,454
NordOvest,F,15-64,occupati,2021,2912746,Non Italiano,60
NordOvest,F,15-64,occupati,2021,2912746,Italiano,307
NordOvest,F,15-64,occupati,2022,2954702,Non Italiano,94
NordOvest,F,15-64,occupati,2022,2954702,Italiano,239
NordEst,F,15-64,occupati,2018,2216571,Non Italiano,65
NordEst,F,15-64,occupati,2018,2216571,Italiano,230
NordEst,F,15-64,occupati,2019,2244083,Non Italiano,72
NordEst,F,15-64,occupati,2019,2244083,Italiano,207
NordEst,F,15-64,occupati,2020,2145346,Non Italiano,57
NordEst,F,15-64,occupati,2020,2145346,Italiano,253
NordEst,F,15-64,occupati,2021,217292,Non Italiano,69
NordEst,F,15-64,occupati,2021,217292,Italiano,243
NordEst,F,15-64,occupati,2022,2238819,Non Italiano,71
NordEst,F,15-64,occupati,2022,2238819,Italiano,212
NordOvest,M,15+,occupati,2018,3862543,Non Italiano,64
NordOvest,M,15+,occupati,2018,3862543,Italiano,284
NordOvest,M,15+,occupati,2019,3886123,Non Italiano,72
NordOvest,M,15+,occupati,2019,3886123,Italiano,253
NordOvest,M,15+,occupati,2020,3752789,Non Italiano,97
NordOvest,M,15+,occupati,2020,3752789,Italiano,454
NordOvest,M,15+,occupati,2021,377081,Non Italiano,60
NordOvest,M,15+,occupati,2021,377081,Italiano,307
NordOvest,M,15+,occupati,2022,3864081,Non Italiano,94
NordOvest,M,15+,occupati,2022,3864081,Italiano,239
NordEst,M,15+,occupati,2018,2863361,Non Italiano,65
NordEst,M,15+,occupati,2018,2863361,Italiano,230
NordEst,M,15+,occupati,2019,2897444,Non Italiano,72
NordEst,M,15+,occupati,2019,2897444,Italiano,207
NordEst,M,15+,occupati,2020,2836607,Non Italiano,57
NordEst,M,15+,occupati,2020,2836607,Italiano,253
NordEst,M,15+,occupati,2021,283231,Non Italiano,69
NordEst,M,15+,occupati,2021,283231,Italiano,243
NordEst,M,15+,occupati,2022,2885959,Non Italiano,71
NordEst,M,15+,occupati,2022,2885959,Italiano,212
Centro,M,15-64,occupati,2018,2620414,Non Italiano,34
Centro,M,15-64,occupati,2018,2620414,Italiano,207
Centro,M,15-64,occupati,2019,2622496,Non Italiano,40
Centro,M,15-64,occupati,2019,2622496,Italiano,205
Centro,M,15-64,occupati,2020,2562728,Non Italiano,51
Centro,M,15-64,occupati,2020,2562728,Italiano,254
Centro,M,15-64,occupati,2021,2560975,Non Italiano,49
Centro,M,15-64,occupati,2021,2560975,Italiano,223
Centro,M,15-64,occupati,2022,2634145,Non Italiano,44
Centro,M,15-64,occupati,2022,2634145,Italiano,219
Centro,F,15-64,occupati,2018,2121395,Non Italiano,34
Centro,F,15-64,occupati,2018,2121395,Italiano,207
Centro,F,15-64,occupati,2019,2134194,Non Italiano,40
Centro,F,15-64,occupati,2019,2134194,Italiano,205
Centro,F,15-64,occupati,2020,2046289,Non Italiano,51
Centro,F,15-64,occupati,2020,2046289,Italiano,254
Centro,F,15-64,occupati,2021,2056406,Non Italiano,49
Centro,F,15-64,occupati,2021,2056406,Italiano,223
Centro,F,15-64,occupati,2022,2135463,Non Italiano,44
Centro,F,15-64,occupati,2022,2135463,Italiano,219
NordEst,F,15+,occupati,2018,2260143,Non Italiano,65
NordEst,F,15+,occupati,2018,2260143,Italiano,230
NordEst,F,15+,occupati,2019,2290556,Non Italiano,72
NordEst,F,15+,occupati,2019,2290556,Italiano,207
NordEst,F,15+,occupati,2020,219745,Non Italiano,57
NordEst,F,15+,occupati,2020,219745,Italiano,253
NordEst,F,15+,occupati,2021,2224038,Non Italiano,69
NordEst,F,15+,occupati,2021,2224038,Italiano,243
NordEst,F,15+,occupati,2022,2287512,Non Italiano,71
NordEst,F,15+,occupati,2022,2287512,Italiano,212
Centro,M,15+,occupati,2018,2720411,Non Italiano,34
Centro,M,15+,occupati,2018,2720411,Italiano,207
Centro,M,15+,occupati,2019,27222,Non Italiano,40
Centro,M,15+,occupati,2019,27222,Italiano,205
Centro,M,15+,occupati,2020,2664587,Non Italiano,51
Centro,M,15+,occupati,2020,2664587,Italiano,254
Centro,M,15+,occupati,2021,2674047,Non Italiano,49
Centro,M,15+,occupati,2021,2674047,Italiano,223
Centro,M,15+,occupati,2022,2739146,Non Italiano,44
Centro,M,15+,occupati,2022,2739146,Italiano,219
Sud,F,15-64,occupati,2018,2200257,Non Italiano,54
Sud,F,15-64,occupati,2018,2200257,Italiano,333
Sud,F,15-64,occupati,2019,2207101,Non Italiano,46
Sud,F,15-64,occupati,2019,2207101,Italiano,321
Sud,F,15-64,occupati,2020,2104876,Non Italiano,40
Sud,F,15-64,occupati,2020,2104876,Italiano,483
Sud,F,15-64,occupati,2021,2148377,Non Italiano,42
Sud,F,15-64,occupati,2021,2148377,Italiano,409
Sud,F,15-64,occupati,2022,219913,Non Italiano,31
Sud,F,15-64,occupati,2022,219913,Italiano,306
Sud,M,15+,occupati,2018,3835914,Non Italiano,54
Sud,M,15+,occupati,2018,3835914,Italiano,333
Sud,M,15+,occupati,2019,382987,Non Italiano,46
Sud,M,15+,occupati,2019,382987,Italiano,321
Sud,M,15+,occupati,2020,3733431,Non Italiano,40
