Anno,Regione,Occupati,Area Geografica,DescrAtecoLiv1,Settore,Count,Percentage,PercentageOccupati
2018,Sicilia,1342938,Sud,"Agricoltura, silvicoltura e pesca",Primario,1,0.03933910306845004,7.44636014469767e-05
2018,Sicilia,1342938,Sud,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,3,0.11801730920535011,0.0002233908043409301
2018,Sicilia,1342938,Sud,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,1,0.03933910306845004,7.44636014469767e-05
2018,Sicilia,1342938,Sud,Attivita' dei servizi di alloggio e di ristorazione,Terziario,6,0.23603461841070023,0.0004467816086818602
2018,Sicilia,1342938,Sud,Attivita' manifatturiere,Secondario,8,0.3147128245476003,0.0005957088115758136
2018,Sicilia,1342938,Sud,"Attivita' professionali, scientifiche e tecniche",Terziario,1,0.03933910306845004,7.44636014469767e-05
2018,Sicilia,1342938,Sud,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,6,0.23603461841070023,0.0004467816086818602
2018,Sicilia,1342938,Sud,Costruzioni,Secondario,13,0.5114083398898506,0.0009680268188106972
2018,Sicilia,1342938,Sud,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,1,0.03933910306845004,7.44636014469767e-05
2018,Sicilia,1342938,Sud,"Fornitura di energia elettrica, gas, vapore e aria condizionata",Secondario,1,0.03933910306845004,7.44636014469767e-05
2018,Sicilia,1342938,Sud,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,1,0.03933910306845004,7.44636014469767e-05
2018,Sicilia,1342938,Sud,Non determinato,Terziario,22,0.865460267505901,0.0016381992318334874
2018,Sicilia,1342938,Sud,Sanita' e assistenza sociale,Terziario,4,0.15735641227380015,0.0002978544057879068
2018,Sicilia,1342938,Sud,Trasporto e magazzinaggio,Terziario,8,0.3147128245476003,0.0005957088115758136
2018,Toscana,1578180,Centro,"Agricoltura, silvicoltura e pesca",Primario,2,0.07867820613690008,0.00012672825659937396
2018,Toscana,1578180,Centro,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,1,0.03933910306845004,6.336412829968698e-05
2018,Toscana,1578180,Centro,Attivita' dei servizi di alloggio e di ristorazione,Terziario,7,0.2753737214791503,0.0004435488980978089
2018,Toscana,1578180,Centro,Attivita' immobiliari,Terziario,1,0.03933910306845004,6.336412829968698e-05
2018,Toscana,1578180,Centro,Attivita' manifatturiere,Secondario,17,0.6687647521636507,0.0010771901810946785
2018,Toscana,1578180,Centro,"Attivita' professionali, scientifiche e tecniche",Terziario,1,0.03933910306845004,6.336412829968698e-05
2018,Toscana,1578180,Centro,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,6,0.23603461841070023,0.0003801847697981219
2018,Toscana,1578180,Centro,Costruzioni,Secondario,10,0.3933910306845004,0.0006336412829968698
2018,Toscana,1578180,Centro,Estrazione di minerali da cave e miniere,Primario,1,0.03933910306845004,6.336412829968698e-05
2018,Toscana,1578180,Centro,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,5,0.1966955153422502,0.0003168206414984349
2018,Toscana,1578180,Centro,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,4,0.15735641227380015,0.0002534565131987479
2018,Toscana,1578180,Centro,Non determinato,Terziario,22,0.865460267505901,0.0013940108225931134
2018,Toscana,1578180,Centro,Sanita' e assistenza sociale,Terziario,3,0.11801730920535011,0.00019009238489906094
2018,Toscana,1578180,Centro,Servizi di informazione e comunicazione,Terziario,2,0.07867820613690008,0.00012672825659937396
2018,Toscana,1578180,Centro,Trasporto e magazzinaggio,Terziario,8,0.3147128245476003,0.0005069130263974958
2018,Total,,Total,"Agricoltura, silvicoltura e pesca",Primario,11,0.4327301337529505,0.0
2018,Total,,Total,Altre attivita' di servizi,Terziario,19,0.7474429583005507,0.0
