DescrRegione,MacroRegione,Year,Occupati,IncidentiPerOccupati,SummarisedCount
Toscana,Centro,2019,1584130,3.1269529647188046,Moderate (10001-50000)
Toscana,Centro,2020,1544467,2.677817007420683,Moderate (10001-50000)
Toscana,Centro,2021,1546282,2.8179206638892516,Moderate (10001-50000)
Toscana,Centro,2022,1617713,3.284884277989977,High (50001-100000)
Toscana,Centro,2023,1628035,1.1785373164581843,Moderate (10001-50000)
Trentino Alto Adige,NordEst,2018,496171,4.914233197828975,Moderate (10001-50000)
Trentino Alto Adige,NordEst,2019,500166,4.885178120863873,Moderate (10001-50000)
Trentino Alto Adige,NordEst,2020,486175,4.607394456728544,Moderate (10001-50000)
Trentino Alto Adige,NordEst,2021,487081,4.440739835879453,Moderate (10001-50000)
Trentino Alto Adige,NordEst,2022,506320,4.569047242850371,Moderate (10001-50000)
Trentino Alto Adige,NordEst,2023,507708,1.7864599336626565,Low (1001-10000)
Umbria,Centro,2018,349450,2.9715266847903847,Moderate (10001-50000)
Umbria,Centro,2019,358279,2.9624957086516375,Moderate (10001-50000)
Umbria,Centro,2020,348364,2.303912000091858,Low (1001-10000)
Umbria,Centro,2021,354249,2.5659917176900993,Low (1001-10000)
Umbria,Centro,2022,352298,3.0445815758250117,Moderate (10001-50000)
Umbria,Centro,2023,361596,1.192491067379064,Low (1001-10000)
Valle D'Aosta,NordOvest,2018,54777,2.7712361027438526,Low (1001-10000)
Valle D'Aosta,NordOvest,2019,55199,2.6214243011648763,Low (1001-10000)
Valle D'Aosta,NordOvest,2020,53103,3.2032088582565956,Low (1001-10000)
Valle D'Aosta,NordOvest,2021,52741,2.5217572666426498,Low (1001-10000)
Valle D'Aosta,NordOvest,2022,55164,3.02552389239359,Low (1001-10000)
Valle D'Aosta,NordOvest,2023,56813,1.0173727843979372,Very low (1-1000)
Veneto,NordEst,2018,2123868,3.6210819128119076,High (50001-100000)
Veneto,NordEst,2019,2153657,3.594954999798018,High (50001-100000)
Veneto,NordEst,2020,2075427,3.3213406205084546,High (50001-100000)
Veneto,NordEst,2021,2080525,3.39025005707694,High (50001-100000)
Veneto,NordEst,2022,2145361,3.9430659921570306,High (50001-100000)
Total,Total,2018,22958728,2.751467764241991,Extremely High (200001+)
Total,Total,2019,23109405,2.7311261367395656,Extremely High (200001+)
Total,Total,2020,22385258,2.5058321865220403,Extremely High (200001+)
Total,Total,2021,22553956,2.4517339663161533,Extremely High (200001+)
Total,Total,2022,23099391,2.9836024681343334,Extremely High (200001+)
Total,Total,2023,23579947,0.8973896336577856,Extremely High (200001+)
