Year,DescrRegione,AgeGroup,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2018,Umbria,15-64,338994,Centro,20,0.005246589716684155,5.8998094361552006e-05,Low (11-50)
2018,Umbria,65+,10456,Centro,10,0.000262329485834207,9.5638867635807e-05,Very low (1-10)
2018,Valle D'Aosta,15+,54777,NordOvest,10,0.000262329485834207,1.8255837303977e-05,Very low (1-10)
2018,Valle D'Aosta,15-64,53486,NordOvest,10,0.000262329485834207,1.8696481322215e-05,Very low (1-10)
2018,Valle D'Aosta,65+,1291,0,0,0.0,0.0,No deaths
2018,Veneto,15+,2123868,NordEst,125,0.03279118572927597,5.8854881753479e-05,High (101-500)
2018,Veneto,15-64,2066335,NordEst,112,0.029380902413431265,5.4202246973506005e-05,High (101-500)
2018,Veneto,65+,57533,NordEst,13,0.003410283315844701,0.00022595727669337502,Low (11-50)
2019,Abruzzo,15+,492615,Sud,35,0.009602194787379972,7.1049399632573e-05,Low (11-50)
2019,Abruzzo,15-64,479217,Sud,33,0.009053497942386832,6.886233167855e-05,Low (11-50)
2019,Abruzzo,65+,13398,Sud,10,0.000548696844993141,0.00014927601134497598,Very low (1-10)
2019,Basilicata,15+,187581,Sud,21,0.005761316872427984,0.000111951636892862,Low (11-50)
2019,Basilicata,15-64,182726,Sud,21,0.005761316872427984,0.000114926173615139,Low (11-50)
2019,Basilicata,65+,4855,0,0,0.0,0.0,No deaths
2019,Calabria,15+,538640,Sud,38,0.010425240054869684,7.0548046933016e-05,Low (11-50)
2019,Calabria,15-64,518045,Sud,33,0.009053497942386832,6.370102983331501e-05,Low (11-50)
2019,Calabria,65+,20595,Sud,10,0.001371742112482853,0.00024277737314882202,Very low (1-10)
2019,Campania,15+,1625581,Sud,97,0.026611796982167358,5.9670973024414e-05,Moderate (51-100)
2019,Campania,15-64,1576708,Sud,92,0.0252400548696845,5.8349421706492e-05,Moderate (51-100)
2019,Campania,65+,48873,Sud,10,0.001371742112482853,0.00010230597671515899,Very low (1-10)
2019,Emilia Romagna,15+,2026012,NordEst,115,0.03155006858710562,5.6761756593741e-05,High (101-500)
2019,Emilia Romagna,15-64,1960576,NordEst,105,0.02880658436213992,5.3555689756479e-05,High (101-500)
2019,Emilia Romagna,65+,65436,NordEst,10,0.002743484224965706,0.000152821077082951,Very low (1-10)
2019,Friuli Venezia Giulia,0-14,0,NordEst,10,0.00027434842249657,0.0,Very low (1-10)
2019,Friuli Venezia Giulia,15+,508166,NordEst,20,0.005486968449931412,3.935721791697899e-05,Low (11-50)
2019,Friuli Venezia Giulia,15-64,494061,NordEst,19,0.005212620027434842,3.8456789748634e-05,Low (11-50)
2019,Friuli Venezia Giulia,65+,14105,NordEst,10,0.00027434842249657,7.0896845090393e-05,Very low (1-10)
2019,Lazio,0-14,0,Centro,10,0.00027434842249657,0.0,Very low (1-10)
2019,Lazio,15+,2333459,Centro,113,0.03100137174211248,4.8425963344545e-05,High (101-500)
2019,Lazio,15-64,2269755,Centro,112,0.030727023319615913,4.9344532779969e-05,High (101-500)
2019,Lazio,65+,63704,Centro,10,0.00027434842249657,1.5697601406505e-05,Very low (1-10)
2019,Liguria,15+,601748,NordOvest,26,0.007133058984910837,4.3207455612648e-05,Low (11-50)
2019,Liguria,15-64,578830,NordOvest,25,0.006858710562414267,4.319057408911e-05,Low (11-50)
2019,Liguria,65+,22918,NordOvest,10,0.00027434842249657,4.3633824941094e-05,Very low (1-10)
2019,Lombardia,15+,4451020,NordOvest,193,0.052949245541838136,4.3360847625936994e-05,High (101-500)
2019,Lombardia,15-64,4340378,NordOvest,183,0.050205761316872426,4.2162226423596995e-05,High (101-500)
2019,Lombardia,65+,110642,NordOvest,10,0.002743484224965706,9.0381591077529e-05,Very low (1-10)
2019,Marche,15+,632493,Centro,36,0.009876543209876543,5.691762596582e-05,Low (11-50)
2019,Marche,15-64,613509,Centro,32,0.008779149519890261,5.2158974032979996e-05,Low (11-50)
2019,Marche,65+,18984,Centro,10,0.001097393689986282,0.000210703750526759,Very low (1-10)
2019,Molise,15+,108495,Sud,13,0.003566529492455418,0.000119821189916586,Low (11-50)
2019,Molise,15-64,104880,Sud,11,0.0030178326474622767,0.000104881769641495,Low (11-50)
2019,Molise,65+,3615,Sud,10,0.000548696844993141,0.000553250345781466,Very low (1-10)
2019,Piemonte,15+,1812535,NordOvest,105,0.02880658436213992,5.7929915836107e-05,High (101-500)
2019,Piemonte,15-64,1758282,NordOvest,88,0.02414266117969822,5.0048854506842e-05,Moderate (51-100)
2019,Piemonte,65+,54253,NordOvest,17,0.004663923182441701,0.00031334672736991505,Low (11-50)
