Year,DescrRegione,Genere,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2018,Trentino Alto Adige,M,270559,NordEst,16958,0.013422468189114488,0.0626776414756116,Moderate (10001-50000)
2018,Umbria,F,152579,Centro,3796,0.003004581274081766,0.024878915184920598,Low (1001-10000)
2018,Umbria,M,196871,Centro,6588,0.0052144840446919595,0.03346353703694297,Low (1001-10000)
2018,Valle D'Aosta,F,25671,NordOvest,585,0.00046303478538931296,0.022788360406684586,Very low (1-1000)
2018,Valle D'Aosta,M,29106,NordOvest,933,0.00073848111926193,0.03205524634096062,Very low (1-1000)
2018,Veneto,F,915075,NordEst,24727,0.0195717284415753,0.027021828811846022,Moderate (10001-50000)
2018,Veneto,M,1208793,NordEst,52180,0.04130111983181943,0.04316702694340553,High (50001-100000)
2019,Abruzzo,F,199112,Sud,5079,0.00402362682544637,0.025508256659568483,Low (1001-10000)
2019,Abruzzo,M,293503,Sud,8305,0.006579291353678303,0.02829613325928525,Low (1001-10000)
2019,Basilicata,F,69133,Sud,1752,0.0013879492416188298,0.025342455845978037,Low (1001-10000)
2019,Basilicata,M,118448,Sud,3025,0.002396430625511964,0.025538632986627043,Low (1001-10000)
2019,Calabria,F,194172,Sud,3543,0.002806794613616162,0.018246709103269268,Low (1001-10000)
2019,Calabria,M,344468,Sud,6380,0.005054290046534325,0.01852131402626659,Low (1001-10000)
2019,Campania,F,580865,Sud,7524,0.0059605765376370325,0.012953095814001532,Low (1001-10000)
2019,Campania,M,1044716,Sud,15628,0.012380633988595367,0.01495908936017061,Moderate (10001-50000)
2019,Emilia Romagna,F,915415,NordEst,29999,0.023765461928837498,0.03277092903218759,Moderate (10001-50000)
2019,Emilia Romagna,M,1110597,NordEst,55299,0.0438083362513012,0.04979213882263323,High (50001-100000)
2019,Friuli Venezia Giulia,F,220726,NordEst,6355,0.005034484834753234,0.028791352174188812,Low (1001-10000)
2019,Friuli Venezia Giulia,M,287440,NordEst,10794,0.008551098238603685,0.03755218480378514,Moderate (10001-50000)
2019,Lazio,F,1029891,Centro,18392,0.014570298203112746,0.01785820052801704,Moderate (10001-50000)
2019,Lazio,M,1303568,Centro,26926,0.02133100529670584,0.02065561597093516,Moderate (10001-50000)
