Year,DescrRegione,Occupati,MacroRegione,Settore,Count,Percentage,PercentageOccupati,SummarisedCount
2019,Friuli Venezia Giulia,508166,NordEst,Secondario,13,0.6190476190476191,2.5582191646036e-05,Low (11-50)
2019,Friuli Venezia Giulia,508166,NordEst,Terziario,8,0.38095238095238093,1.5742887166791e-05,Very low (1-10)
2019,Lazio,2333459,Centro,Primario,1,0.008771929824561403,4.285483481818194e-07,Very low (1-10)
2019,Lazio,2333459,Centro,Secondario,30,0.2631578947368421,1.2856450445454e-05,Low (11-50)
2019,Lazio,2333459,Centro,Terziario,83,0.7280701754385965,3.5569512899091e-05,Moderate (51-100)
2019,Liguria,601748,NordOvest,Secondario,11,0.4230769230769231,1.8280077374582e-05,Low (11-50)
2019,Liguria,601748,NordOvest,Terziario,15,0.5769230769230769,2.4927378238065997e-05,Low (11-50)
2019,Lombardia,4451020,NordOvest,Primario,1,0.005181347150259068,2.2466760427946852e-07,Very low (1-10)
2019,Lombardia,4451020,NordOvest,Secondario,100,0.5181347150259067,2.2466760427946e-05,Moderate (51-100)
2019,Lombardia,4451020,NordOvest,Terziario,92,0.47668393782383417,2.0669419593711e-05,Moderate (51-100)
2019,Marche,632493,Centro,Primario,2,0.05555555555555555,3.1620903314339997e-06,Very low (1-10)
2019,Marche,632493,Centro,Secondario,13,0.36111111111111105,2.0553587154324003e-05,Low (11-50)
2019,Marche,632493,Centro,Terziario,21,0.5833333333333334,3.3201948480062e-05,Low (11-50)
2019,Molise,108495,Sud,Secondario,6,0.4615384615384615,5.5302087653808006e-05,Very low (1-10)
2019,Molise,108495,Sud,Terziario,7,0.5384615384615384,6.451910226277699e-05,Very low (1-10)
2019,Piemonte,1812535,NordOvest,Primario,1,0.009523809523809525,5.517134841534095e-07,Very low (1-10)
2019,Piemonte,1812535,NordOvest,Secondario,45,0.4285714285714285,2.4827106786903e-05,Low (11-50)
2019,Piemonte,1812535,NordOvest,Terziario,59,0.5619047619047619,3.2551095565051004e-05,Moderate (51-100)
2019,Puglia,1216063,Sud,Primario,2,0.02666666666666667,1.644651634002e-06,Very low (1-10)
