Year,DescrRegione,Occupati,MacroRegione,DescrAtecoLiv1,Settore,Count,Percentage,PercentageOccupati,SummarisedCount
2018,Emilia Romagna,1996335,NordEst,Costruzioni,Secondario,10,0.003147128245476003,4.007343456884001e-06,Very low (1-10)
2018,Emilia Romagna,1996335,NordEst,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.001180173092053501,1.502753796331e-06,Very low (1-10)
2018,Emilia Romagna,1996335,NordEst,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,10,0.001573564122738001,2.0036717284420003e-06,Very low (1-10)
2018,Emilia Romagna,1996335,NordEst,Non determinato,Terziario,27,0.010621557828481511,1.3524784166985999e-05,Low (11-50)
2018,Emilia Romagna,1996335,NordEst,Sanita' e assistenza sociale,Terziario,10,0.002360346184107002,3.005507592663e-06,Very low (1-10)
2018,Emilia Romagna,1996335,NordEst,Servizi di informazione e comunicazione,Terziario,10,0.0003933910306845,5.009179321105926e-07,Very low (1-10)
2018,Emilia Romagna,1996335,NordEst,Trasporto e magazzinaggio,Terziario,24,0.009441384736428008,1.2022030370654e-05,Low (11-50)
2018,Friuli Venezia Giulia,507129,NordEst,"Agricoltura, silvicoltura e pesca",Primario,10,0.0003933910306845,1.971884865586e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,10,0.0003933910306845,1.971884865586e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.0003933910306845,1.971884865586e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,Attivita' manifatturiere,Secondario,12,0.004720692368214004,2.3662618387037e-05,Low (11-50)
2018,Friuli Venezia Giulia,507129,NordEst,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,10,0.000786782061369,3.943769731172e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,Costruzioni,Secondario,10,0.001180173092053501,5.915654596759001e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,Estrazione di minerali da cave e miniere,Primario,10,0.0003933910306845,1.971884865586e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,10,0.0003933910306845,1.971884865586e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,Non determinato,Terziario,10,0.001180173092053501,5.915654596759001e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,Sanita' e assistenza sociale,Terziario,10,0.0003933910306845,1.971884865586e-06,Very low (1-10)
2018,Friuli Venezia Giulia,507129,NordEst,Trasporto e magazzinaggio,Terziario,10,0.001180173092053501,5.915654596759001e-06,Very low (1-10)
2018,Lazio,2324973,Centro,Altre attivita' di servizi,Terziario,10,0.0003933910306845,4.301125217368116e-07,Very low (1-10)
2018,Lazio,2324973,Centro,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,10,0.0003933910306845,4.301125217368116e-07,Very low (1-10)
2018,Lazio,2324973,Centro,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.003147128245476003,3.440900173894e-06,Very low (1-10)
2018,Lazio,2324973,Centro,Attivita' finanziarie e assicurative,Terziario,10,0.001180173092053501,1.29033756521e-06,Very low (1-10)
2018,Lazio,2324973,Centro,Attivita' manifatturiere,Secondario,10,0.0027537372147915028,3.010787652157e-06,Very low (1-10)
2018,Lazio,2324973,Centro,"Attivita' professionali, scientifiche e tecniche",Terziario,10,0.001180173092053501,1.29033756521e-06,Very low (1-10)
2018,Lazio,2324973,Centro,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,11,0.004327301337529505,4.731237739104e-06,Low (11-50)
2018,Lazio,2324973,Centro,Costruzioni,Secondario,15,0.005900865460267506,6.451687826052e-06,Low (11-50)
2018,Lazio,2324973,Centro,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.001180173092053501,1.29033756521e-06,Very low (1-10)
2018,Lazio,2324973,Centro,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,11,0.004327301337529505,4.731237739104e-06,Low (11-50)
2018,Lazio,2324973,Centro,Non determinato,Terziario,18,0.007081038552321007,7.742025391262001e-06,Low (11-50)
2018,Lazio,2324973,Centro,Sanita' e assistenza sociale,Terziario,10,0.0003933910306845,4.301125217368116e-07,Very low (1-10)
2018,Lazio,2324973,Centro,Servizi di informazione e comunicazione,Terziario,10,0.001966955153422502,2.150562608684e-06,Very low (1-10)
2018,Lazio,2324973,Centro,Trasporto e magazzinaggio,Terziario,19,0.007474429583005507,8.172137912999e-06,Low (11-50)
2018,Liguria,601566,NordOvest,Altre attivita' di servizi,Terziario,10,0.000786782061369,3.3246559812219997e-06,Very low (1-10)
2018,Liguria,601566,NordOvest,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.0003933910306845,1.6623279906109999e-06,Very low (1-10)
2018,Liguria,601566,NordOvest,Attivita' immobiliari,Terziario,10,0.0003933910306845,1.6623279906109999e-06,Very low (1-10)
2018,Liguria,601566,NordOvest,Attivita' manifatturiere,Secondario,10,0.0027537372147915028,1.1636295934278e-05,Very low (1-10)
2018,Liguria,601566,NordOvest,"Commercio all'ingrosso e al dettaglio, riparazione di autoveicoli e motocicli",Terziario,10,0.001180173092053501,4.986983971833e-06,Very low (1-10)
2018,Liguria,601566,NordOvest,Costruzioni,Secondario,10,0.001966955153422502,8.311639953055001e-06,Very low (1-10)
2018,Liguria,601566,NordOvest,"Fornitura di acqua, reti fognarie, attivita' di gestione dei rifiuti e risanamento",Secondario,10,0.000786782061369,3.3246559812219997e-06,Very low (1-10)
2018,Liguria,601566,NordOvest,"Noleggio, agenzie di viaggio, servizi di supporto alle imprese",Terziario,10,0.000786782061369,3.3246559812219997e-06,Very low (1-10)
2018,Liguria,601566,NordOvest,Non determinato,Terziario,12,0.004720692368214004,1.9947935887334e-05,Low (11-50)
2018,Liguria,601566,NordOvest,Sanita' e assistenza sociale,Terziario,10,0.0003933910306845,1.6623279906109999e-06,Very low (1-10)
2018,Liguria,601566,NordOvest,Trasporto e magazzinaggio,Terziario,10,0.003933910306845004,1.6623279906111e-05,Very low (1-10)
2018,Lombardia,4393446,NordOvest,"Agricoltura, silvicoltura e pesca",Primario,10,0.000786782061369,4.5522353068639057e-07,Very low (1-10)
2018,Lombardia,4393446,NordOvest,Altre attivita' di servizi,Terziario,10,0.001180173092053501,6.828352960295859e-07,Very low (1-10)
2018,Lombardia,4393446,NordOvest,"Amministrazione pubblica e difesa, assicurazione sociale obbligatoria",Terziario,10,0.001573564122738001,9.104470613727811e-07,Very low (1-10)
2018,Lombardia,4393446,NordOvest,"Attivita' artistiche, sportive, di intrattenimento e divertimento",Terziario,10,0.000786782061369,4.5522353068639057e-07,Very low (1-10)
2018,Lombardia,4393446,NordOvest,Attivita' dei servizi di alloggio e di ristorazione,Terziario,10,0.003147128245476003,1.8208941227449999e-06,Very low (1-10)
2018,Lombardia,4393446,NordOvest,Attivita' finanziarie e assicurative,Terziario,10,0.001180173092053501,6.828352960295859e-07,Very low (1-10)
