DescrRegione,MacroRegione,Year,Count,Occupati,PercentageOccupati,SummarisedCount
Puglia,Sud,2023.000000,23.000000,1292646.000000,0.000018,Low (11-50)
Sicilia,Sud,2018.000000,76.000000,1342938.000000,0.000057,Moderate (51-100)
Sicilia,Sud,2019.000000,88.000000,1341533.000000,0.000066,Moderate (51-100)
Sicilia,Sud,2020.000000,105.000000,1305304.000000,0.000080,High (101-500)
Sicilia,Sud,2021.000000,83.000000,1310864.000000,0.000063,Moderate (51-100)
Sicilia,Sud,2022.000000,72.000000,1337017.000000,0.000054,Moderate (51-100)
Sicilia,Sud,2023.000000,24.000000,1410776.000000,0.000017,Low (11-50)
Toscana,Centro,2018.000000,90.000000,1578180.000000,0.000057,Moderate (51-100)
Toscana,Centro,2019.000000,76.000000,1584130.000000,0.000048,Moderate (51-100)
Toscana,Centro,2020.000000,81.000000,1544467.000000,0.000052,Moderate (51-100)
Toscana,Centro,2021.000000,76.000000,1546282.000000,0.000049,Moderate (51-100)
Toscana,Centro,2022.000000,86.000000,1617713.000000,0.000053,Moderate (51-100)
Toscana,Centro,2023.000000,19.000000,1628035.000000,0.000012,Low (11-50)
Trentino Alto Adige,NordEst,2018.000000,16.000000,496171.000000,0.000032,Low (11-50)
Trentino Alto Adige,NordEst,2019.000000,34.000000,500166.000000,0.000068,Low (11-50)
Trentino Alto Adige,NordEst,2020.000000,26.000000,486175.000000,0.000053,Low (11-50)
Trentino Alto Adige,NordEst,2021.000000,30.000000,487081.000000,0.000062,Low (11-50)
Trentino Alto Adige,NordEst,2022.000000,38.000000,506320.000000,0.000075,Low (11-50)
Trentino Alto Adige,NordEst,2023.000000,10.000000,507708.000000,0.000020,Very low (1-10)
Umbria,Centro,2018.000000,21.000000,349450.000000,0.000060,Low (11-50)
Umbria,Centro,2019.000000,19.000000,358279.000000,0.000053,Low (11-50)
Umbria,Centro,2020.000000,13.000000,348364.000000,0.000037,Low (11-50)
Umbria,Centro,2021.000000,28.000000,354249.000000,0.000079,Low (11-50)
Umbria,Centro,2022.000000,23.000000,352298.000000,0.000065,Low (11-50)
Umbria,Centro,2023.000000,11.000000,361596.000000,0.000030,Low (11-50)
Valle D'Aosta,NordOvest,2018.000000,10.000000,54777.000000,0.000018,Very low (1-10)
Valle D'Aosta,NordOvest,2019.000000,10.000000,55199.000000,0.000018,Very low (1-10)
Valle D'Aosta,NordOvest,2020.000000,10.000000,53103.000000,0.000038,Very low (1-10)
Valle D'Aosta,NordOvest,2021.000000,10.000000,52741.000000,0.000095,Very low (1-10)
Valle D'Aosta,NordOvest,2022.000000,10.000000,55164.000000,0.000127,Very low (1-10)
Valle D'Aosta,NordOvest,2023.000000,10.000000,56813.000000,0.000018,Very low (1-10)
Veneto,NordEst,2018.000000,125.000000,2123868.000000,0.000059,High (101-500)
Veneto,NordEst,2019.000000,109.000000,2153657.000000,0.000051,High (101-500)
Veneto,NordEst,2020.000000,108.000000,2075427.000000,0.000052,High (101-500)
Veneto,NordEst,2021.000000,119.000000,2080525.000000,0.000057,High (101-500)
Veneto,NordEst,2022.000000,129.000000,2145361.000000,0.000060,High (101-500)
Veneto,NordEst,2023.000000,33.000000,2225751.000000,0.000015,Low (11-50)
Total,Total,2018.000000,1271.000000,22958728.000000,0.000055,Extremely High (1001+)
Total,Total,2019.000000,1216.000000,23109405.000000,0.000053,Extremely High (1001+)
Total,Total,2020.000000,1689.000000,22385258.000000,0.000075,Extremely High (1001+)
Total,Total,2021.000000,1402.000000,22553956.000000,0.000062,Extremely High (1001+)
Total,Total,2022.000000,1216.000000,23099391.000000,0.000053,Extremely High (1001+)
Total,Total,2023.000000,351.000000,23579947.000000,0.000015,High (101-500)
