Year,DescrRegione,Genere,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2019,Piemonte,M,1008818,NordOvest,95,0.0390625,9.4169612358225e-05,Moderate (51-100)
2019,Puglia,F,434381,Sud,10,0.003289473684210526,1.8417011793793e-05,Very low (1-10)
2019,Puglia,M,781682,Sud,67,0.02754934210526316,8.5712604358294e-05,Moderate (51-100)
2019,Sardegna,F,252199,0,0,0.0,0.0,No deaths
2019,Sardegna,M,329834,0,0,0.0,0.0,No deaths
2019,Sicilia,F,490486,Sud,10,0.002878289473684211,1.4271559229009e-05,Very low (1-10)
2019,Sicilia,M,851047,Sud,81,0.03330592105263158,9.517688212284299e-05,Moderate (51-100)
2019,Toscana,F,717197,Centro,10,0.003289473684210526,1.1154536340782e-05,Very low (1-10)
2019,Toscana,M,866933,Centro,68,0.027960526315789477,7.8437434034694e-05,Moderate (51-100)
2019,Total,F,9773767,Total,100,0.041118421052631575,1.0231469606345e-05,Moderate (51-100)
2019,Total,M,13335638,Total,1116,0.4588815789473684,8.368553495528201e-05,Extremely High (1001+)
2019,Trentino Alto Adige,F,226964,NordEst,10,0.001233552631578947,1.3217955270439e-05,Very low (1-10)
2019,Trentino Alto Adige,M,273202,NordEst,31,0.01274671052631579,0.0001134691546914,Low (11-50)
2019,Umbria,F,160589,0,0,0.0,0.0,No deaths
2019,Umbria,M,197690,Centro,19,0.0078125,9.611007132378901e-05,Low (11-50)
2019,Valle D'Aosta,F,25777,0,0,0.0,0.0,No deaths
2019,Valle D'Aosta,M,29422,NordOvest,10,0.000411184210526315,3.3988172116103e-05,Very low (1-10)
2019,Veneto,F,927451,NordEst,10,0.002878289473684211,7.547568550790999e-06,Very low (1-10)
2019,Veneto,M,1226206,NordEst,102,0.04194078947368421,8.3183412901258e-05,High (101-500)
2020,Abruzzo,F,188399,Sud,10,0.0020722320899940793,3.7155186598654e-05,Very low (1-10)
2020,Abruzzo,M,286962,Sud,39,0.011545293072824156,0.000135906496330524,Low (11-50)
2020,Basilicata,F,67395,Sud,10,0.000888099467140319,4.4513687959046995e-05,Very low (1-10)
2020,Basilicata,M,116300,Sud,10,0.0020722320899940793,6.0189165950128004e-05,Very low (1-10)
2020,Calabria,F,182110,Sud,10,0.001480165778567199,2.745593322717e-05,Very low (1-10)
2020,Calabria,M,331724,Sud,44,0.013025458851391357,0.00013264038779226098,Low (11-50)
2020,Campania,F,551025,Sud,14,0.0041444641799881585,2.5407195680776e-05,Low (11-50)
2020,Campania,M,1018794,Sud,172,0.050917702782711675,0.000168827064156247,High (101-500)
2020,Emilia Romagna,F,878847,NordEst,14,0.0041444641799881585,1.5929962780779e-05,Low (11-50)
2020,Emilia Romagna,M,1087391,NordEst,134,0.03966844286560095,0.000123230742207724,High (101-500)
2020,Friuli Venezia Giulia,F,221290,NordEst,10,0.0011841326228537589,1.8075828098874e-05,Very low (1-10)
2020,Friuli Venezia Giulia,M,284926,NordEst,24,0.007104795737122558,8.423239718382999e-05,Low (11-50)
2020,Lazio,F,983371,Centro,17,0.005032563647128479,1.7287473395086e-05,Low (11-50)
2020,Lazio,M,1275414,Centro,140,0.04144464179988159,0.000109768279162687,High (101-500)
2020,Liguria,F,257227,NordOvest,10,0.001480165778567199,1.9438083871444e-05,Very low (1-10)
2020,Liguria,M,322290,NordOvest,55,0.016281823564239194,0.000170653759036892,Moderate (51-100)
2020,Lombardia,F,1883528,NordOvest,52,0.015393724097098875,2.7607765852166e-05,Moderate (51-100)
2020,Lombardia,M,2431609,NordOvest,292,0.08644168146832445,0.00012008509591797,High (101-500)
2020,Marche,F,267587,Centro,10,0.0017761989342806388,2.2422613953592e-05,Very low (1-10)
2020,Marche,M,344230,Centro,48,0.014209591474245116,0.00013944165238358,Low (11-50)
2020,Molise,F,40588,Sud,10,0.000888099467140319,7.3913471962156e-05,Very low (1-10)
2020,Molise,M,63391,Sud,14,0.0041444641799881585,0.00022085154043949398,Low (11-50)
2020,Piemonte,F,777478,NordOvest,18,0.0053285968028419185,2.3151780500541e-05,Low (11-50)
2020,Piemonte,M,970690,NordOvest,127,0.03759621077560687,0.000130834767021397,High (101-500)
2020,Puglia,F,423620,Sud,10,0.002368265245707519,1.8884849629384e-05,Very low (1-10)
2020,Puglia,M,764492,Sud,102,0.03019538188277087,0.000133421932472805,High (101-500)
2020,Sardegna,F,236978,0,0,0.0,0.0,No deaths
2020,Sardegna,M,314762,0,0,0.0,0.0,No deaths
2020,Sicilia,F,468297,Sud,10,0.002960331557134399,2.1353969809757e-05,Very low (1-10)
2020,Sicilia,M,837007,Sud,95,0.028123149792776792,0.00011349964815109,Moderate (51-100)
2020,Toscana,F,691159,Centro,10,0.0020722320899940793,1.0127915573695e-05,Very low (1-10)
2020,Toscana,M,853308,Centro,74,0.021906453522794557,8.6721324539322e-05,Moderate (51-100)
2020,Total,F,9397844,Total,188,0.055654233274126705,2.0004588286419e-05,High (101-500)
2020,Total,M,12987414,Total,1501,0.44434576672587334,0.000115573431323587,Extremely High (1001+)
2020,Trentino Alto Adige,F,218311,0,0,0.0,0.0,No deaths
2020,Trentino Alto Adige,M,267864,NordEst,26,0.0076968620485494375,9.7064181823611e-05,Low (11-50)
2020,Umbria,F,156729,0,0,0.0,0.0,No deaths
2020,Umbria,M,191635,Centro,13,0.0038484310242747188,6.7837294857411e-05,Low (11-50)
2020,Valle D'Aosta,F,24903,0,0,0.0,0.0,No deaths
2020,Valle D'Aosta,M,28200,NordOvest,10,0.000592066311426879,7.0921985815602e-05,Very low (1-10)
2020,Veneto,F,879002,NordEst,15,0.004440497335701598,1.7064807588606e-05,Low (11-50)
2020,Veneto,M,1196425,NordEst,93,0.027531083481349913,7.7731575318135e-05,Moderate (51-100)
2021,Abruzzo,F,193246,Sud,10,0.0021398002853067043,3.1048508119184e-05,Very low (1-10)
2021,Abruzzo,M,291141,Sud,40,0.014265335235378032,0.000137390474031483,Low (11-50)
2021,Basilicata,F,71774,Sud,10,0.001783166904422254,6.9663109203889e-05,Very low (1-10)
2021,Basilicata,M,117292,Sud,20,0.007132667617689016,0.000170514613102342,Low (11-50)
2021,Calabria,F,188903,Sud,10,0.00035663338088445,5.293722174872e-06,Very low (1-10)
2021,Calabria,M,332060,Sud,26,0.00927246790299572,7.829910257182399e-05,Low (11-50)
2021,Campania,F,561556,Sud,10,0.002853067047075606,1.4246130394831001e-05,Very low (1-10)
2021,Campania,M,1030539,Sud,140,0.049928673323823114,0.000135851239011818,High (101-500)
2021,Emilia Romagna,F,880939,NordEst,10,0.003566333808844508,1.1351523771792999e-05,Very low (1-10)
2021,Emilia Romagna,M,1097504,NordEst,115,0.041012838801711846,0.00010478321719100699,High (101-500)
2021,Friuli Venezia Giulia,F,225247,NordEst,10,0.001426533523537803,1.7758283129187e-05,Very low (1-10)
2021,Friuli Venezia Giulia,M,285053,NordEst,34,0.012125534950071326,0.00011927606445117201,Low (11-50)
2021,Lazio,F,988581,Centro,15,0.005349500713266762,1.5173263495859e-05,Low (11-50)
2021,Lazio,M,1277166,Centro,117,0.04172610556348074,9.1609078224757e-05,High (101-500)
2021,Liguria,F,263270,NordOvest,10,0.002853067047075606,3.0387055114521e-05,Very low (1-10)
2021,Liguria,M,331330,NordOvest,34,0.012125534950071326,0.000102616726526423,Low (11-50)
2021,Lombardia,F,1905304,NordOvest,15,0.005349500713266762,7.872759412671e-06,Low (11-50)
2021,Lombardia,M,2427213,NordOvest,186,0.06633380884450785,7.6631099124798e-05,High (101-500)
2021,Marche,F,267301,Centro,10,0.0021398002853067043,2.2446605138027e-05,Very low (1-10)
2021,Marche,M,349261,Centro,30,0.010699001426533523,8.589564824014099e-05,Low (11-50)
2021,Molise,F,37198,Sud,10,0.001426533523537803,0.0001075326630464,Very low (1-10)
2021,Molise,M,63078,Sud,15,0.005349500713266762,0.00023780081803481402,Low (11-50)
2021,Piemonte,F,782823,NordOvest,13,0.00463623395149786,1.6606563680423e-05,Low (11-50)
2021,Piemonte,M,984477,NordOvest,106,0.03780313837375178,0.00010767138287639,High (101-500)
2021,Puglia,F,437889,Sud,10,0.002496433666191155,1.5985786352249e-05,Very low (1-10)
2021,Puglia,M,768872,Sud,96,0.034236804564907276,0.000124858233880281,Moderate (51-100)
2021,Sardegna,F,240946,0,0,0.0,0.0,No deaths
2021,Sardegna,M,322251,0,0,0.0,0.0,No deaths
